wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;6908;1.8;349;77;272;27615;193924;46647;8974;36805;868;t00;2020-12-14
dolnośląskie;531;1.83;30;4;26;1839;13896;3548;635;2842;71;t02;2020-12-14
kujawsko-pomorskie;760;3.67;28;7;21;2372;15828;3442;907;2469;66;t04;2020-12-14
lubelskie;434;2.06;14;2;12;1409;9771;2163;484;1653;26;t06;2020-12-14
lubuskie;149;1.47;17;9;8;831;6419;1313;266;1029;18;t08;2020-12-14
łódzkie;451;1.84;26;11;15;1787;12170;3195;564;2532;99;t10;2020-12-14
małopolskie;238;0.7;27;7;20;1097;8090;2099;300;1747;52;t12;2020-12-14
mazowieckie;776;1.43;23;3;20;3669;29217;6677;1094;5426;157;t14;2020-12-14
opolskie;128;1.31;17;3;14;603;4933;806;168;635;3;t16;2020-12-14
podkarpackie;311;1.46;7;2;5;673;5286;3207;647;2521;39;t18;2020-12-14
podlaskie;172;1.46;5;1;4;755;5376;1194;212;980;2;t20;2020-12-14
pomorskie;505;2.15;29;3;26;2159;16321;2808;577;2144;87;t22;2020-12-14
śląskie;611;1.36;45;5;40;2705;16213;4169;708;3385;76;t24;2020-12-14
świętokrzyskie;174;1.41;8;1;7;477;3207;1868;313;1526;29;t26;2020-12-14
warmińsko-mazurskie;579;4.08;23;3;20;1895;12527;2602;644;1924;34;t28;2020-12-14
wielkopolskie;646;1.85;46;16;30;3073;21561;3572;823;2714;35;t30;2020-12-14
zachodniopomorskie;336;1.98;4;0;4;2270;13107;2181;491;1636;54;t32;2020-12-14
