wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;4633;1.21;77;34;43;443;172680;23918;6015;17341;562;t00;2020-12-20
dolnośląskie;203;0.7;5;4;1;17;11566;1573;239;1304;30;t02;2020-12-20
kujawsko-pomorskie;488;2.36;4;0;4;108;14481;1630;617;962;51;t04;2020-12-20
lubelskie;250;1.19;0;0;0;18;8582;1146;301;830;15;t06;2020-12-20
lubuskie;173;1.71;0;0;0;13;5684;1130;347;765;18;t08;2020-12-20
łódzkie;271;1.11;2;1;1;12;10533;1139;304;801;34;t10;2020-12-20
małopolskie;211;0.62;3;3;0;6;6559;1394;226;1130;38;t12;2020-12-20
mazowieckie;635;1.17;10;1;9;66;26325;3423;711;2642;70;t14;2020-12-20
opolskie;138;1.41;2;1;1;6;3960;541;156;367;18;t16;2020-12-20
podkarpackie;134;0.63;5;0;5;7;4636;1183;260;913;10;t18;2020-12-20
podlaskie;99;0.84;1;0;1;4;4582;410;113;286;11;t20;2020-12-20
pomorskie;551;2.35;2;2;0;59;15492;1912;607;1223;82;t22;2020-12-20
śląskie;243;0.54;2;1;1;22;13439;1561;286;1249;26;t24;2020-12-20
świętokrzyskie;70;0.57;6;0;6;5;2513;693;168;488;37;t26;2020-12-20
warmińsko-mazurskie;175;1.23;1;0;1;9;11295;640;187;437;16;t28;2020-12-20
wielkopolskie;308;0.88;32;21;11;53;19206;1646;408;1210;28;t30;2020-12-20
zachodniopomorskie;566;3.34;2;0;2;38;13824;2561;956;1539;66;t32;2020-12-20
