wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;66;0.02;1;0;1;548;94;98523;34156;83;34030;43;t00;2021-07-10
dolnoœl¹skie;11;0.04;0;0;0;22;5;8423;1994;12;1981;1;t02;2021-07-10
kujawsko-pomorskie;4;0.02;0;0;0;14;4;2837;1358;4;1353;1;t04;2021-07-10
lubelskie;4;0.02;0;0;0;25;6;7146;1396;5;1389;2;t06;2021-07-10
lubuskie;1;0.01;0;0;0;4;2;2455;617;1;614;2;t08;2021-07-10
³ódzkie;3;0.01;0;0;0;152;6;7530;2212;4;2203;5;t10;2021-07-10
ma³opolskie;3;0.01;0;0;0;39;13;6530;3182;3;3179;0;t12;2021-07-10
mazowieckie;12;0.02;1;0;1;57;16;26833;5058;15;5033;10;t14;2021-07-10
opolskie;3;0.03;0;0;0;4;1;2296;662;3;658;1;t16;2021-07-10
podkarpackie;3;0.01;0;0;0;67;2;3109;1929;4;1925;0;t18;2021-07-10
podlaskie;3;0.03;0;0;0;4;2;1886;686;4;681;1;t20;2021-07-10
pomorskie;1;0.00;0;0;0;18;3;5472;1928;2;1922;4;t22;2021-07-10
œl¹skie;3;0.01;0;0;0;40;10;8419;3713;3;3701;9;t24;2021-07-10
œwiêtokrzyskie;1;0.01;0;0;0;4;1;1766;1021;2;1018;1;t26;2021-07-10
warmiñsko-mazurskie;1;0.01;0;0;0;3;3;1765;764;3;761;0;t28;2021-07-10
wielkopolskie;7;0.02;0;0;0;26;8;8605;2358;12;2342;4;t30;2021-07-10
zachodniopomorskie;2;0.01;0;0;0;68;9;3409;1234;2;1230;2;t32;2021-07-10
