wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;5739;1.50;61;7;54;672;7831;143466;29618;6702;22279;637;t00
dolnoœl¹skie;246;0.85;0;0;0;16;457;8847;1844;268;1544;32;t02
kujawsko-pomorskie;673;3.25;9;0;9;158;704;13186;2283;794;1432;57;t04
lubelskie;207;0.98;2;2;0;46;335;6276;1098;249;835;14;t06
lubuskie;169;1.67;0;0;0;7;269;4579;773;226;527;20;t08
³ódzkie;292;1.19;0;0;0;24;587;9139;1818;342;1418;58;t10
ma³opolskie;200;0.59;2;2;0;18;200;5406;1669;228;1407;34;t12
mazowieckie;903;1.66;2;0;2;77;856;22001;3888;1054;2711;123;t14
opolskie;100;1.02;0;0;0;5;141;2949;676;117;545;14;t16
podkarpackie;118;0.56;6;0;6;6;166;3583;880;165;709;6;t18
podlaskie;171;1.45;0;0;0;4;225;3488;657;187;462;8;t20
pomorskie;705;3.00;4;0;4;69;808;13031;2795;747;1973;75;t22
œl¹skie;288;0.64;6;1;5;49;693;11407;1837;322;1490;25;t24
œwiêtokrzyskie;77;0.63;0;0;0;8;86;2123;771;109;651;11;t26
warmiñsko-mazurskie;376;2.65;5;1;4;24;499;9787;1123;406;696;21;t28
wielkopolskie;495;1.41;21;1;20;102;861;15576;2964;658;2273;33;t30
zachodniopomorskie;518;3.06;4;0;4;59;801;12078;1730;603;1072;55;t32
