wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;23764;6.20;486;132;354;38068;29427;700741;104369;25664;77034;1671;t00;2021-12-10
dolnoœl¹skie;2179;7.52;16;12;4;2963;2422;59003;7925;2390;5399;136;t02;2021-12-10
kujawsko-pomorskie;1126;5.44;29;7;22;2138;1890;36526;4983;1210;3718;55;t04;2021-12-10
lubelskie;781;3.71;34;5;29;1763;1083;22118;4508;844;3618;46;t06;2021-12-10
lubuskie;795;7.87;8;3;5;1251;922;24673;2993;863;2083;47;t08;2021-12-10
³ódzkie;1311;5.35;26;6;20;2367;1719;40453;7264;1462;5647;155;t10;2021-12-10
ma³opolskie;2213;6.48;67;32;35;3516;2642;59371;8793;2353;6196;244;t12;2021-12-10
mazowieckie;3339;6.15;58;17;41;4743;4449;105148;16009;3618;12166;225;t14;2021-12-10
opolskie;861;8.78;27;3;24;1114;992;22454;2713;929;1738;46;t16;2021-12-10
podkarpackie;882;4.15;49;7;42;1515;1117;24897;4632;975;3645;12;t18;2021-12-10
podlaskie;309;2.63;11;0;11;782;612;12597;2012;335;1665;12;t20;2021-12-10
pomorskie;1405;5.99;16;3;13;2281;1593;47889;6539;1490;4956;93;t22;2021-12-10
œl¹skie;3099;6.87;50;6;44;5188;3713;85929;12323;3347;8765;211;t24;2021-12-10
œwiêtokrzyskie;559;4.54;23;5;18;982;642;16351;2586;614;1929;43;t26;2021-12-10
warmiñsko-mazurskie;886;6.24;15;9;6;1452;1029;27715;3595;970;2596;29;t28;2021-12-10
wielkopolskie;2618;7.48;36;17;19;3728;2879;80693;9515;2730;6578;207;t30;2021-12-10
zachodniopomorskie;1257;7.42;21;0;21;2235;1622;34809;5362;1371;3895;96;t32;2021-12-10
