wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;15183;3.96;599;85;514;20924;332314;60368;16469;42242;1657;t00;2020-11-27
dolnośląskie;1486;5.13;30;1;29;1553;26122;5432;1576;3749;107;t02;2020-11-27
kujawsko-pomorskie;1010;4.88;29;3;26;1640;21619;3924;1051;2729;144;t04;2020-11-27
lubelskie;940;4.47;37;13;24;1135;18279;3081;1060;1950;71;t06;2020-11-27
lubuskie;399;3.95;20;5;15;578;10141;1638;425;1167;46;t08;2020-11-27
łódzkie;655;2.67;60;8;52;1289;19955;3670;765;2820;85;t10;2020-11-27
małopolskie;660;1.93;42;15;27;1089;19447;4503;798;3610;95;t12;2020-11-27
mazowieckie;1994;3.67;60;6;54;3021;46040;10696;2202;8140;354;t14;2020-11-27
opolskie;434;4.43;18;0;18;487;10316;1433;467;923;43;t16;2020-11-27
podkarpackie;715;3.36;51;14;37;648;12348;2315;740;1552;23;t18;2020-11-27
podlaskie;481;4.09;15;0;15;577;9737;1560;510;1018;32;t20;2020-11-27
pomorskie;1038;4.42;44;3;41;1540;23851;4037;1147;2734;156;t22;2020-11-27
śląskie;1402;3.11;54;1;53;2305;34011;5708;1522;4031;155;t24;2020-11-27
świętokrzyskie;308;2.5;16;1;15;402;7292;1296;334;886;76;t26;2020-11-27
warmińsko-mazurskie;951;6.69;47;3;44;1147;18048;2641;994;1568;79;t28;2020-11-27
wielkopolskie;1756;5.02;60;8;52;2156;37499;5426;1864;3447;115;t30;2020-11-27
zachodniopomorskie;907;5.36;16;4;12;1357;17608;2622;958;1591;73;t32;2020-11-27
