wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;13601;3.55;638;233;405;23891;18587;213742;92923;15228;76504;1191;t00;2021-12-30
dolnoœl¹skie;1037;3.58;25;16;9;1662;1649;17973;6247;1169;5008;70;t02;2021-12-30
kujawsko-pomorskie;694;3.35;20;5;15;1425;880;10849;4722;744;3937;41;t04;2021-12-30
lubelskie;533;2.53;22;5;17;1280;536;7173;4208;582;3603;23;t06;2021-12-30
lubuskie;370;3.66;41;23;18;583;365;6640;2177;403;1748;26;t08;2021-12-30
³ódzkie;874;3.57;52;24;28;1472;1114;12975;6433;1013;5371;49;t10;2021-12-30
ma³opolskie;1462;4.28;58;9;49;2130;1751;19359;8003;1647;6263;93;t12;2021-12-30
mazowieckie;1824;3.36;88;38;50;3250;2710;33606;15261;2107;12840;314;t14;2021-12-30
opolskie;346;3.53;9;0;9;640;554;7022;2009;393;1593;23;t16;2021-12-30
podkarpackie;630;2.96;41;9;32;979;668;8552;4396;708;3675;13;t18;2021-12-30
podlaskie;200;1.70;11;1;10;492;232;3469;1914;233;1669;12;t20;2021-12-30
pomorskie;892;3.80;29;2;27;1577;1273;14848;6185;991;5062;132;t22;2021-12-30
œl¹skie;1643;3.64;99;56;43;3112;2600;25054;10253;1823;8278;152;t24;2021-12-30
œwiêtokrzyskie;351;2.85;17;8;9;630;448;5321;2339;400;1919;20;t26;2021-12-30
warmiñsko-mazurskie;466;3.28;19;8;11;887;649;6822;2891;499;2369;23;t28;2021-12-30
wielkopolskie;1434;4.10;77;27;50;2298;2200;23061;7794;1570;6102;122;t30;2021-12-30
zachodniopomorskie;707;4.18;30;2;28;1426;883;10931;4615;794;3753;68;t32;2021-12-30
