wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;902;216;1118;0.24;0.06;0.29;14;6;8;2259;0;0;8172;1241;6902;29;t00;2022-10-21
dolnoœl¹skie;70;19;89;0.24;0.07;0.31;4;2;2;142;0;0;386;95;290;1;t02;2022-10-21
kujawsko-pomorskie;53;25;78;0.26;0.12;0.38;1;0;1;159;0;0;400;82;318;0;t04;2022-10-21
lubelskie;60;14;74;0.29;0.07;0.35;1;0;1;171;0;0;706;86;617;3;t06;2022-10-21
lubuskie;24;8;32;0.24;0.08;0.32;0;0;0;69;0;0;190;35;154;1;t08;2022-10-21
³ódzkie;57;10;67;0.23;0.04;0.27;1;0;1;171;0;0;377;72;303;2;t10;2022-10-21
ma³opolskie;76;13;89;0.22;0.04;0.26;1;0;1;220;0;0;619;98;519;2;t12;2022-10-21
mazowieckie;115;22;137;0.21;0.04;0.25;0;0;0;319;0;0;1297;150;1140;7;t14;2022-10-21
opolskie;27;7;34;0.28;0.07;0.35;0;0;0;57;0;0;265;40;224;1;t16;2022-10-21
podkarpackie;39;10;49;0.18;0.05;0.23;0;0;0;92;0;0;373;52;321;0;t18;2022-10-21
podlaskie;19;10;29;0.16;0.08;0.25;1;0;1;90;0;0;252;33;217;2;t20;2022-10-21
pomorskie;53;9;62;0.23;0.04;0.26;1;1;0;111;0;0;402;69;332;1;t22;2022-10-21
œl¹skie;102;30;132;0.23;0.07;0.29;3;2;1;276;0;0;892;144;746;2;t24;2022-10-21
œwiêtokrzyskie;28;2;30;0.23;0.02;0.24;1;1;0;69;0;0;271;33;238;0;t26;2022-10-21
warmiñsko-mazurskie;34;8;42;0.24;0.06;0.30;0;0;0;70;0;0;360;51;308;1;t28;2022-10-21
wielkopolskie;85;14;99;0.24;0.04;0.28;0;0;0;143;0;0;627;111;516;0;t30;2022-10-21
zachodniopomorskie;43;15;58;0.25;0.09;0.34;0;0;0;100;0;0;306;60;243;3;t32;2022-10-21
