wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;181;70;251;0.05;0.02;0.07;2;1;1;518;0;0;4125;282;3835;8;t00;2023-05-04
dolnoœl¹skie;8;7;15;0.03;0.02;0.05;0;0;0;25;0;0;175;15;160;0;t02;2023-05-04
kujawsko-pomorskie;11;5;16;0.05;0.02;0.08;0;0;0;23;0;0;220;16;202;2;t04;2023-05-04
lubelskie;20;7;27;0.10;0.03;0.13;0;0;0;40;0;0;523;30;493;0;t06;2023-05-04
lubuskie;5;4;9;0.05;0.04;0.09;0;0;0;15;0;0;86;9;77;0;t08;2023-05-04
³ódzkie;12;2;14;0.05;0.01;0.06;0;0;0;49;0;0;180;15;165;0;t10;2023-05-04
ma³opolskie;9;7;16;0.03;0.02;0.05;0;0;0;53;0;0;212;17;195;0;t12;2023-05-04
mazowieckie;27;6;33;0.05;0.01;0.06;1;0;1;61;0;0;660;36;624;0;t14;2023-05-04
opolskie;12;2;14;0.12;0.02;0.14;0;0;0;4;0;0;199;17;182;0;t16;2023-05-04
podkarpackie;8;4;12;0.04;0.02;0.06;0;0;0;31;0;0;216;13;203;0;t18;2023-05-04
podlaskie;17;5;22;0.14;0.04;0.19;0;0;0;38;0;0;197;24;172;1;t20;2023-05-04
pomorskie;4;4;8;0.02;0.02;0.03;0;0;0;16;0;0;194;12;182;0;t22;2023-05-04
œl¹skie;15;6;21;0.03;0.01;0.05;0;0;0;59;0;0;362;24;335;3;t24;2023-05-04
œwiêtokrzyskie;4;0;4;0.03;0;0.03;0;0;0;8;0;0;74;5;69;0;t26;2023-05-04
warmiñsko-mazurskie;8;3;11;0.06;0.02;0.08;0;0;0;26;0;0;253;12;240;1;t28;2023-05-04
wielkopolskie;12;1;13;0.03;0.00;0.04;1;1;0;23;0;0;186;18;167;1;t30;2023-05-04
zachodniopomorskie;4;7;11;0.02;0.04;0.06;0;0;0;47;0;0;187;13;174;0;t32;2023-05-04
