wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;11008;2.87;400;122;278;14050;13359;170928;46724;12152;33485;1087;t00
dolnoœl¹skie;647;2.23;36;19;17;746;599;10738;4245;725;3436;84;t02
kujawsko-pomorskie;967;4.67;27;2;25;1393;1228;15336;3201;1111;1999;91;t04
lubelskie;388;1.84;21;13;8;634;627;7625;1718;424;1275;19;t06
lubuskie;343;3.40;17;15;2;384;408;5376;1308;371;912;25;t08
³ódzkie;704;2.87;25;3;22;1006;968;11262;2842;770;2005;67;t10
ma³opolskie;388;1.14;22;17;5;605;514;6238;2237;425;1762;50;t12
mazowieckie;1453;2.68;52;12;40;2267;1859;26130;6372;1594;4584;194;t14
opolskie;179;1.83;15;3;12;229;225;3710;872;197;661;14;t16
podkarpackie;261;1.23;36;11;25;285;277;4200;1690;337;1323;30;t18
podlaskie;307;2.61;10;4;6;402;380;4244;1227;321;889;17;t20
pomorskie;1027;4.38;24;4;20;1316;1103;15458;4051;1143;2772;136;t22
œl¹skie;885;1.96;30;2;28;1100;1226;13644;3814;958;2776;80;t24
œwiêtokrzyskie;192;1.56;8;3;5;167;213;2503;1302;268;997;37;t26
warmiñsko-mazurskie;825;5.81;11;1;10;952;1006;11403;2365;861;1453;51;t28
wielkopolskie;1249;3.57;48;12;36;1493;1429;18830;3914;1336;2502;76;t30
zachodniopomorskie;951;5.62;18;1;17;1065;1126;14209;2543;1014;1454;75;t32
