wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;6640;1.73;346;76;270;10811;8974;188758;45108;7386;36950;772;t00
dolnoœl¹skie;366;1.26;17;10;7;676;471;12906;3902;410;3439;53;t02
kujawsko-pomorskie;613;2.96;22;1;21;981;826;13591;2820;669;2104;47;t04
lubelskie;311;1.48;22;1;21;512;492;8113;1874;349;1491;34;t06
lubuskie;208;2.06;6;5;1;302;230;5425;1346;232;1103;11;t08
³ódzkie;351;1.43;23;3;20;692;537;11698;2668;404;2206;58;t10
ma³opolskie;270;0.79;10;8;2;518;384;9641;2460;291;2131;38;t12
mazowieckie;856;1.58;64;21;43;1719;1117;35882;6234;975;5081;178;t14
opolskie;113;1.15;6;1;5;208;185;4461;931;128;789;14;t16
podkarpackie;175;0.82;20;4;16;277;239;5706;1705;200;1492;13;t18
podlaskie;229;1.95;10;0;10;365;297;5501;1181;249;916;16;t20
pomorskie;770;3.28;22;5;17;1003;811;16805;3874;848;2944;82;t22
œl¹skie;488;1.08;33;0;33;955;806;14332;4160;532;3581;47;t24
œwiêtokrzyskie;125;1.02;8;1;7;153;131;2828;1263;149;1089;25;t26
warmiñsko-mazurskie;476;3.35;27;6;21;642;619;10184;1942;500;1412;30;t28
wielkopolskie;672;1.92;37;10;27;1053;1009;19181;3839;767;3021;51;t30
zachodniopomorskie;504;2.98;19;0;19;752;746;12485;2436;555;1829;52;t32
