wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;239;24;263;0.06;0.01;0.07;2;1;1;413;5;0;5543;290;5240;13;t00;2022-06-10
dolnoœl¹skie;15;3;18;0.05;0.01;0.06;0;0;0;29;0;0;213;22;191;0;t02;2022-06-10
kujawsko-pomorskie;11;1;12;0.05;0.00;0.06;0;0;0;21;0;0;165;13;151;1;t04;2022-06-10
lubelskie;16;3;19;0.08;0.01;0.09;1;0;1;34;1;0;325;20;305;0;t06;2022-06-10
lubuskie;10;0;10;0.10;0;0.10;0;0;0;10;0;0;73;10;62;1;t08;2022-06-10
³ódzkie;17;3;20;0.07;0.01;0.08;1;1;0;37;0;0;234;21;213;0;t10;2022-06-10
ma³opolskie;25;2;27;0.07;0.01;0.08;0;0;0;49;1;0;632;28;604;0;t12;2022-06-10
mazowieckie;39;2;41;0.07;0.00;0.08;0;0;0;69;0;0;1171;46;1125;0;t14;2022-06-10
opolskie;8;0;8;0.08;0;0.08;0;0;0;7;0;0;223;9;214;0;t16;2022-06-10
podkarpackie;11;1;12;0.05;0.00;0.06;0;0;0;13;2;0;268;12;255;1;t18;2022-06-10
podlaskie;10;1;11;0.08;0.01;0.09;0;0;0;14;0;0;171;13;157;1;t20;2022-06-10
pomorskie;13;1;14;0.06;0.00;0.06;0;0;0;38;0;0;255;17;235;3;t22;2022-06-10
œl¹skie;15;2;17;0.03;0.00;0.04;0;0;0;46;0;0;474;22;451;1;t24;2022-06-10
œwiêtokrzyskie;9;0;9;0.07;0;0.07;0;0;0;11;1;0;175;10;165;0;t26;2022-06-10
warmiñsko-mazurskie;1;0;1;0.01;0;0.01;0;0;0;6;0;0;137;1;136;0;t28;2022-06-10
wielkopolskie;14;2;16;0.04;0.01;0.05;0;0;0;20;0;0;285;17;266;2;t30;2022-06-10
zachodniopomorskie;8;2;10;0.05;0.01;0.06;0;0;0;9;0;0;136;10;126;0;t32;2022-06-10
