wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;12054;3.14;186;38;148;316;7864;158359;46757;12921;32753;1083;t00
dolnoœl¹skie;627;2.16;4;2;2;15;401;9922;3139;681;2422;36;t02
kujawsko-pomorskie;1078;5.21;18;4;14;53;634;13727;2957;1159;1713;85;t04
lubelskie;331;1.57;4;2;2;15;470;6779;1638;378;1243;17;t06
lubuskie;379;3.75;4;2;2;4;173;4669;1126;414;694;18;t08
³ódzkie;627;2.56;29;1;28;19;636;10239;2988;677;2247;64;t10
ma³opolskie;453;1.33;2;2;0;7;266;7427;2360;486;1831;43;t12
mazowieckie;1469;2.71;24;10;14;37;1082;26486;6506;1571;4680;255;t14
opolskie;326;3.32;5;0;5;2;118;3058;1112;344;744;24;t16
podkarpackie;570;2.68;7;0;7;6;157;4105;2664;661;1968;35;t18
podlaskie;272;2.31;6;0;6;8;169;4158;838;291;540;7;t20
pomorskie;1003;4.27;10;3;7;35;527;14234;3622;1060;2457;105;t22
œl¹skie;855;1.90;15;2;13;20;749;12805;3897;911;2908;78;t24
œwiêtokrzyskie;181;1.47;3;0;3;0;148;2407;1049;205;808;36;t26
warmiñsko-mazurskie;709;4.99;10;2;8;29;671;10063;1747;725;993;29;t28
wielkopolskie;1609;4.60;27;8;19;35;797;16403;4909;1677;3120;112;t30
zachodniopomorskie;1324;7.82;18;0;18;30;703;11857;3323;1415;1819;89;t32
