wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;16846;4.39;580;78;502;21671;345501;57120;18161;37467;1492;t00;2020-11-25
dolnośląskie;1117;3.85;51;8;43;1569;27224;4439;1237;3114;88;t02;2020-11-25
kujawsko-pomorskie;1213;5.86;24;1;23;1514;21659;4275;1282;2876;117;t04;2020-11-25
lubelskie;1027;4.88;30;5;25;1225;18998;3098;1124;1894;80;t06;2020-11-25
lubuskie;510;5.05;7;3;4;581;10585;1576;540;994;42;t08;2020-11-25
łódzkie;1106;4.52;37;8;29;1309;21008;4195;1208;2909;78;t10;2020-11-25
małopolskie;917;2.69;40;14;26;1152;21527;4567;1030;3411;126;t12;2020-11-25
mazowieckie;1788;3.29;74;4;70;3222;47183;7510;1993;5232;285;t14;2020-11-25
opolskie;587;5.99;23;0;23;571;10787;1530;637;849;44;t16;2020-11-25
podkarpackie;752;3.54;69;10;59;651;13468;2435;811;1591;33;t18;2020-11-25
podlaskie;467;3.97;24;3;21;613;10151;1223;495;717;11;t20;2020-11-25
pomorskie;1112;4.74;32;5;27;1599;24479;3486;1197;2171;118;t22;2020-11-25
śląskie;1860;4.13;69;3;66;2325;36562;6239;1988;4101;150;t24;2020-11-25
świętokrzyskie;471;3.83;10;0;10;412;8312;1608;491;1025;92;t26;2020-11-25
warmińsko-mazurskie;1212;8.53;22;3;19;1304;17505;2871;1273;1512;86;t28;2020-11-25
wielkopolskie;1671;4.77;45;8;37;2314;38563;4648;1754;2832;62;t30;2020-11-25
zachodniopomorskie;994;5.87;23;3;20;1310;17489;2966;1051;1852;63;t32;2020-11-25
