wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;17196;4.48;632;183;449;28635;5658;183605;112988;19418;92279;1291;t00;2022-01-04
dolnoœl¹skie;1297;4.47;42;25;17;2127;433;15013;7150;1491;5579;80;t02;2022-01-04
kujawsko-pomorskie;765;3.70;33;9;24;1635;221;8783;5785;839;4840;106;t04;2022-01-04
lubelskie;715;3.40;28;7;21;1562;129;6677;5664;806;4832;26;t06;2022-01-04
lubuskie;330;3.27;31;17;14;671;129;5275;2452;357;2072;23;t08;2022-01-04
³ódzkie;1063;4.34;40;5;35;1669;348;10516;7464;1231;6170;63;t10;2022-01-04
ma³opolskie;2174;6.37;26;17;9;2762;655;18559;10828;2418;8236;174;t12;2022-01-04
mazowieckie;2601;4.79;90;34;56;3642;879;29961;17510;3008;14280;222;t14;2022-01-04
opolskie;389;3.97;21;2;19;730;223;5445;2269;445;1802;22;t16;2022-01-04
podkarpackie;681;3.20;24;3;21;1303;196;8047;5740;758;4957;25;t18;2022-01-04
podlaskie;297;2.52;13;1;12;654;72;3076;2633;337;2273;23;t20;2022-01-04
pomorskie;1157;4.93;28;4;24;1938;520;12526;7852;1308;6465;79;t22;2022-01-04
œl¹skie;2047;4.54;122;32;90;3671;779;22105;12311;2293;9846;172;t24;2022-01-04
œwiêtokrzyskie;367;2.98;17;1;16;665;127;4435;2471;416;2021;34;t26;2022-01-04
warmiñsko-mazurskie;554;3.90;37;14;23;1058;157;5675;4023;616;3378;29;t28;2022-01-04
wielkopolskie;1714;4.90;45;10;35;2763;492;18141;9103;1897;7104;102;t30;2022-01-04
zachodniopomorskie;912;5.39;35;2;33;1738;265;9272;5635;1050;4486;99;t32;2022-01-04
