wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;151;0.04;0;0;0;119;232;52181;22077;181;21851;45;t00;2021-08-29
dolnoœl¹skie;8;0.03;0;0;0;4;8;4994;1233;9;1222;2;t02;2021-08-29
kujawsko-pomorskie;3;0.01;0;0;0;10;16;1484;847;8;833;6;t04;2021-08-29
lubelskie;5;0.02;0;0;0;0;11;2295;1025;6;1017;2;t06;2021-08-29
lubuskie;3;0.03;0;0;0;2;3;1233;443;3;438;2;t08;2021-08-29
³ódzkie;6;0.02;0;0;0;4;13;3831;1386;7;1376;3;t10;2021-08-29
ma³opolskie;18;0.05;0;0;0;6;34;3228;2321;20;2298;3;t12;2021-08-29
mazowieckie;29;0.05;0;0;0;78;30;15847;2789;32;2755;2;t14;2021-08-29
opolskie;1;0.01;0;0;0;1;5;1268;459;1;458;0;t16;2021-08-29
podkarpackie;14;0.07;0;0;0;5;12;1466;1379;18;1356;5;t18;2021-08-29
podlaskie;7;0.06;0;0;0;0;13;1149;608;8;599;1;t20;2021-08-29
pomorskie;16;0.07;0;0;0;0;16;3051;1377;17;1356;4;t22;2021-08-29
œl¹skie;11;0.02;0;0;0;1;21;4363;2314;13;2293;8;t24;2021-08-29
œwiêtokrzyskie;4;0.03;0;0;0;1;7;672;644;6;638;0;t26;2021-08-29
warmiñsko-mazurskie;0;0;0;0;0;2;11;1014;624;0;623;1;t28;2021-08-29
wielkopolskie;4;0.01;0;0;0;5;21;4403;1261;4;1257;0;t30;2021-08-29
zachodniopomorskie;19;0.11;0;0;0;0;6;1853;900;25;873;2;t32;2021-08-29
