wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;47534;12.39;246;56;190;43679;61578;577964;164121;56047;104350;3724;t00;2022-02-03
dolnoœl¹skie;3469;11.97;23;9;14;3104;4962;43386;10620;4103;6195;322;t02;2022-02-03
kujawsko-pomorskie;2798;13.52;9;2;7;3117;2565;24696;9392;3295;5898;199;t04;2022-02-03
lubelskie;2475;11.77;19;1;18;2924;3252;33097;9747;2937;6687;123;t06;2022-02-03
lubuskie;1331;13.18;0;0;0;1348;730;13003;4315;1539;2665;111;t08;2022-02-03
³ódzkie;3344;13.66;18;3;15;2971;4036;43086;12112;4150;7662;300;t10;2022-02-03
ma³opolskie;3127;9.16;19;7;12;2726;4967;40467;10788;3633;6878;277;t12;2022-02-03
mazowieckie;7080;13.04;29;9;20;5123;9999;87321;25733;8210;16927;596;t14;2022-02-03
opolskie;1071;10.92;9;1;8;1066;1481;15649;3622;1297;2238;87;t16;2022-02-03
podkarpackie;1932;9.09;27;5;22;1572;3186;30862;7168;2283;4842;43;t18;2022-02-03
podlaskie;1107;9.41;6;0;6;1200;1443;12690;3922;1304;2559;59;t20;2022-02-03
pomorskie;3389;14.44;12;4;8;3208;4651;48264;11618;3991;7121;506;t22;2022-02-03
œl¹skie;5993;13.29;21;3;18;5373;9362;83273;18716;7026;11256;434;t24;2022-02-03
œwiêtokrzyskie;1439;11.70;2;0;2;1102;1091;11855;5277;1661;3506;110;t26;2022-02-03
warmiñsko-mazurskie;1830;12.88;5;3;2;1803;1973;15968;6796;2242;4473;81;t28;2022-02-03
wielkopolskie;4809;13.74;39;9;30;4493;5021;50272;14563;5609;8640;314;t30;2022-02-03
zachodniopomorskie;2132;12.59;8;0;8;2497;2742;23914;7583;2530;4900;153;t32;2022-02-03
