wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;71;0.02;5;0;5;493;207;60566;30658;105;30504;49;t00;2021-06-26
dolnoœl¹skie;2;0.01;0;0;0;25;23;4333;1483;4;1476;3;t02;2021-06-26
kujawsko-pomorskie;4;0.02;0;0;0;8;13;1441;1125;4;1116;5;t04;2021-06-26
lubelskie;9;0.04;0;0;0;12;26;3729;1179;10;1169;0;t06;2021-06-26
lubuskie;0;0;0;0;0;7;2;1360;555;1;554;0;t08;2021-06-26
³ódzkie;9;0.04;0;0;0;133;12;5066;1928;16;1905;7;t10;2021-06-26
ma³opolskie;4;0.01;0;0;0;70;18;3552;2933;5;2925;3;t12;2021-06-26
mazowieckie;9;0.02;0;0;0;30;35;20143;4635;15;4608;12;t14;2021-06-26
opolskie;1;0.01;1;0;1;3;8;1288;592;2;589;1;t16;2021-06-26
podkarpackie;5;0.02;0;0;0;66;1;1674;1630;12;1618;0;t18;2021-06-26
podlaskie;0;0;0;0;0;3;3;979;610;0;609;1;t20;2021-06-26
pomorskie;3;0.01;0;0;0;7;5;3175;2141;3;2133;5;t22;2021-06-26
œl¹skie;6;0.01;3;0;3;30;26;4196;3231;13;3211;7;t24;2021-06-26
œwiêtokrzyskie;1;0.01;0;0;0;10;4;2484;997;1;996;0;t26;2021-06-26
warmiñsko-mazurskie;0;0;0;0;0;4;4;904;655;0;654;1;t28;2021-06-26
wielkopolskie;11;0.03;0;0;0;10;15;4432;2067;12;2055;0;t30;2021-06-26
zachodniopomorskie;3;0.02;1;0;1;75;8;1791;1149;3;1144;2;t32;2021-06-26
