wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;8361;2.18;133;44;89;16473;1647;214695;58862;9042;49402;418;t00;2021-10-26
dolnoœl¹skie;417;1.44;5;5;0;900;73;11017;3804;475;3303;26;t02;2021-10-26
kujawsko-pomorskie;273;1.32;4;1;3;780;70;7830;2647;291;2335;21;t04;2021-10-26
lubelskie;1632;7.76;27;6;21;2646;330;30765;5675;1718;3894;63;t06;2021-10-26
lubuskie;98;0.97;0;0;0;312;26;4299;1119;106;1006;7;t08;2021-10-26
³ódzkie;354;1.45;14;10;4;933;82;11438;3816;387;3411;18;t10;2021-10-26
ma³opolskie;377;1.10;10;6;4;843;66;10109;3552;406;3122;24;t12;2021-10-26
mazowieckie;1687;3.11;21;5;16;2802;374;50497;9967;1834;8033;100;t14;2021-10-26
opolskie;119;1.21;1;0;1;251;20;3342;1164;125;1037;2;t16;2021-10-26
podkarpackie;428;2.01;4;0;4;702;67;9194;3338;465;2863;10;t18;2021-10-26
podlaskie;804;6.83;10;1;9;1244;158;17784;2802;868;1918;16;t20;2021-10-26
pomorskie;333;1.42;2;0;2;878;48;12409;3055;358;2681;16;t22;2021-10-26
œl¹skie;517;1.15;17;6;11;1213;88;10365;5670;572;5074;24;t24;2021-10-26
œwiêtokrzyskie;125;1.02;6;3;3;237;37;2864;1510;138;1364;8;t26;2021-10-26
warmiñsko-mazurskie;317;2.23;6;1;5;722;29;9172;2132;337;1784;11;t28;2021-10-26
wielkopolskie;411;1.17;2;0;2;1022;62;11591;3487;450;2996;41;t30;2021-10-26
zachodniopomorskie;348;2.06;4;0;4;966;108;11973;2829;382;2421;26;t32;2021-10-26
