wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;25052;6.53;453;103;350;41949;6825;327953;84862;27255;56075;1532;t00;2021-03-16
dolnoœl¹skie;1672;5.77;20;12;8;3275;499;23921;5598;1883;3636;79;t02;2021-03-16
kujawsko-pomorskie;1275;6.16;31;2;29;2584;369;17622;4549;1388;3057;104;t04;2021-03-16
lubelskie;840;3.99;29;7;22;1626;147;11604;3514;882;2595;37;t06;2021-03-16
lubuskie;698;6.91;19;15;4;1169;306;9237;2185;741;1417;27;t08;2021-03-16
³ódzkie;1466;5.99;29;4;25;2520;293;17978;5379;1547;3783;49;t10;2021-03-16
ma³opolskie;2050;6.00;26;14;12;3175;598;24948;5691;2117;3475;99;t12;2021-03-16
mazowieckie;4142;7.63;70;15;55;7283;1231;62655;13551;4753;8405;393;t14;2021-03-16
opolskie;357;3.64;2;0;2;650;122;5685;1555;398;1145;12;t16;2021-03-16
podkarpackie;1319;6.20;33;1;32;2081;487;19727;4769;1697;3026;46;t18;2021-03-16
podlaskie;621;5.28;23;1;22;880;112;7734;2084;659;1401;24;t20;2021-03-16
pomorskie;1685;7.18;21;3;18;2819;877;27134;6176;1794;4241;141;t22;2021-03-16
œl¹skie;4030;8.94;49;8;41;5719;697;37448;10541;4165;6209;167;t24;2021-03-16
œwiêtokrzyskie;535;4.35;30;0;30;923;153;7172;2355;596;1649;110;t26;2021-03-16
warmiñsko-mazurskie;1097;7.72;18;8;10;1754;291;15443;3084;1142;1899;43;t28;2021-03-16
wielkopolskie;2034;5.81;41;12;29;3895;412;28659;6640;2164;4388;88;t30;2021-03-16
zachodniopomorskie;795;4.70;12;1;11;1453;175;10748;3311;869;2380;62;t32;2021-03-16
