wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;24266;6.33;669;173;496;37415;14068;546785;109502;26225;81767;1510;t00;2021-12-14
dolnoœl¹skie;2049;7.07;40;25;15;2949;1271;43998;8062;2236;5742;84;t02;2021-12-14
kujawsko-pomorskie;1084;5.24;47;9;38;2208;594;29196;5504;1157;4279;68;t04;2021-12-14
lubelskie;693;3.29;35;9;26;1663;313;17454;4792;752;4009;31;t06;2021-12-14
lubuskie;617;6.11;6;2;4;1140;493;19028;2955;671;2242;42;t08;2021-12-14
³ódzkie;1408;5.75;32;8;24;2382;860;31397;7181;1608;5448;125;t10;2021-12-14
ma³opolskie;2180;6.39;82;21;61;3268;1255;47191;8978;2327;6454;197;t12;2021-12-14
mazowieckie;3571;6.58;93;18;75;4573;2350;82537;17123;3847;13044;232;t14;2021-12-14
opolskie;672;6.85;39;5;34;1067;551;18849;2395;723;1634;38;t16;2021-12-14
podkarpackie;804;3.78;20;4;16;1345;397;20279;4526;897;3612;17;t18;2021-12-14
podlaskie;371;3.15;18;2;16;681;192;8388;2317;395;1898;24;t20;2021-12-14
pomorskie;1598;6.81;29;4;25;2351;1146;37902;7283;1691;5499;93;t22;2021-12-14
œl¹skie;3622;8.03;79;25;54;5154;1882;66281;13281;3922;9149;210;t24;2021-12-14
œwiêtokrzyskie;580;4.72;19;6;13;919;293;12168;2786;633;2116;37;t26;2021-12-14
warmiñsko-mazurskie;935;6.58;25;5;20;1625;367;22281;4155;998;3114;43;t28;2021-12-14
wielkopolskie;2622;7.49;70;28;42;3905;1174;62830;9727;2755;6796;176;t30;2021-12-14
zachodniopomorskie;1265;7.47;35;2;33;2125;865;26887;5537;1397;4056;84;t32;2021-12-14
