wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;3236;0.84;44;10;34;8025;2017;123871;43645;3579;39837;229;t00;2021-10-15
dolnoœl¹skie;134;0.46;0;0;0;400;78;6341;2706;155;2539;12;t02;2021-10-15
kujawsko-pomorskie;109;0.53;2;1;1;364;82;3854;2096;115;1967;14;t04;2021-10-15
lubelskie;773;3.68;9;1;8;1332;426;17680;3705;828;2856;21;t06;2021-10-15
lubuskie;39;0.39;1;1;0;140;39;2523;1052;45;1000;7;t08;2021-10-15
³ódzkie;151;0.62;5;3;2;479;106;8877;2789;176;2593;20;t10;2021-10-15
ma³opolskie;217;0.64;5;1;4;474;109;5554;3010;232;2765;13;t12;2021-10-15
mazowieckie;568;1.05;2;0;2;1248;413;29090;6775;646;6075;54;t14;2021-10-15
opolskie;34;0.35;1;0;1;143;28;2296;850;37;811;2;t16;2021-10-15
podkarpackie;109;0.51;4;0;4;352;123;4792;2523;118;2398;7;t18;2021-10-15
podlaskie;339;2.88;3;0;3;665;182;9962;1605;367;1228;10;t20;2021-10-15
pomorskie;129;0.55;1;0;1;392;90;7078;2390;139;2235;16;t22;2021-10-15
œl¹skie;156;0.35;3;0;3;577;88;6255;4336;177;4146;13;t24;2021-10-15
œwiêtokrzyskie;50;0.41;1;0;1;146;20;1573;1216;60;1151;5;t26;2021-10-15
warmiñsko-mazurskie;85;0.60;1;1;0;298;46;3940;1505;96;1403;6;t28;2021-10-15
wielkopolskie;152;0.43;4;1;3;463;76;7733;2832;164;2653;15;t30;2021-10-15
zachodniopomorskie;155;0.92;2;1;1;542;104;6299;1988;182;1794;12;t32;2021-10-15
