wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;2963;551;3514;0.77;0.14;0.92;12;6;6;3413;0;1;10671;3757;6874;40;t00;2022-07-27
dolnoœl¹skie;240;42;282;0.83;0.14;0.97;0;0;0;245;0;0;596;289;305;2;t02;2022-07-27
kujawsko-pomorskie;139;30;169;0.67;0.14;0.82;1;1;0;192;0;1;466;177;288;1;t04;2022-07-27
lubelskie;122;22;144;0.58;0.10;0.68;0;0;0;176;0;0;618;156;459;3;t06;2022-07-27
lubuskie;65;14;79;0.64;0.14;0.78;0;0;0;71;0;0;253;80;173;0;t08;2022-07-27
³ódzkie;168;39;207;0.69;0.16;0.85;1;1;0;209;0;0;548;224;322;2;t10;2022-07-27
ma³opolskie;219;42;261;0.64;0.12;0.76;0;0;0;301;0;0;802;278;518;6;t12;2022-07-27
mazowieckie;507;90;597;0.93;0.17;1.10;4;2;2;553;0;0;1902;635;1263;4;t14;2022-07-27
opolskie;78;13;91;0.80;0.13;0.93;0;0;0;79;0;0;316;109;206;1;t16;2022-07-27
podkarpackie;155;24;179;0.73;0.11;0.84;0;0;0;128;0;0;528;186;340;2;t18;2022-07-27
podlaskie;105;30;135;0.89;0.25;1.15;0;0;0;167;0;0;354;149;203;2;t20;2022-07-27
pomorskie;176;31;207;0.75;0.13;0.88;0;0;0;207;0;0;562;226;334;2;t22;2022-07-27
œl¹skie;369;78;447;0.82;0.17;0.99;0;0;0;451;0;0;1158;485;671;2;t24;2022-07-27
œwiêtokrzyskie;81;15;96;0.66;0.12;0.78;2;0;2;112;0;0;347;99;245;3;t26;2022-07-27
warmiñsko-mazurskie;91;21;112;0.64;0.15;0.79;1;1;0;108;0;0;589;125;461;3;t28;2022-07-27
wielkopolskie;189;36;225;0.54;0.10;0.64;3;1;2;188;0;0;604;238;362;4;t30;2022-07-27
zachodniopomorskie;123;24;147;0.73;0.14;0.87;0;0;0;129;0;0;464;155;308;1;t32;2022-07-27
