wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;24882;6.49;370;100;270;35865;14014;503419;99507;26500;71895;1112;t00;2021-11-17
dolnoœl¹skie;1505;5.19;14;9;5;2352;822;32099;5778;1598;4118;62;t02;2021-11-17
kujawsko-pomorskie;1360;6.57;18;6;12;2038;750;24992;5481;1459;3948;74;t04;2021-11-17
lubelskie;1895;9.01;82;13;69;2644;1642;33032;7028;2015;4960;53;t06;2021-11-17
lubuskie;628;6.22;12;9;3;924;268;12741;2690;671;1983;36;t08;2021-11-17
³ódzkie;1384;5.65;26;16;10;2309;814;29444;7071;1516;5497;58;t10;2021-11-17
ma³opolskie;1534;4.49;21;11;10;2554;1019;33630;6164;1649;4452;63;t12;2021-11-17
mazowieckie;5109;9.41;52;14;38;5746;3050;103069;18491;5419;12774;298;t14;2021-11-17
opolskie;707;7.21;8;1;7;843;206;12684;2599;744;1837;18;t16;2021-11-17
podkarpackie;1176;5.53;24;3;21;1470;644;20738;4971;1244;3710;17;t18;2021-11-17
podlaskie;888;7.55;33;2;31;1388;704;18441;2801;954;1816;31;t20;2021-11-17
pomorskie;1357;5.78;14;2;12;2138;872;35601;5659;1416;4170;73;t22;2021-11-17
œl¹skie;2529;5.61;16;2;14;4103;824;45525;10080;2694;7294;92;t24;2021-11-17
œwiêtokrzyskie;487;3.96;10;3;7;735;263;8897;2400;537;1835;28;t26;2021-11-17
warmiñsko-mazurskie;910;6.41;14;2;12;1384;612;19870;3609;966;2612;31;t28;2021-11-17
wielkopolskie;1919;5.48;7;2;5;3152;784;47566;7422;2002;5326;94;t30;2021-11-17
zachodniopomorskie;1299;7.67;19;5;14;2031;666;24978;4727;1397;3262;68;t32;2021-11-17
