wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;81;16;97;0.02;0.00;0.03;0;0;0;0;0;0;589;98;489;2;t00;2023-11-26
dolnoœl¹skie;3;0;3;0.01;0;0.01;0;0;0;0;0;0;3;3;0;0;t02;2023-11-26
kujawsko-pomorskie;1;0;1;0.00;0;0.00;0;0;0;0;0;0;2;1;1;0;t04;2023-11-26
lubelskie;10;1;11;0.05;0.00;0.05;0;0;0;0;0;0;34;11;23;0;t06;2023-11-26
lubuskie;2;0;2;0.02;0;0.02;0;0;0;0;0;0;3;2;1;0;t08;2023-11-26
³ódzkie;1;1;2;0.00;0.00;0.01;0;0;0;0;0;0;2;2;0;0;t10;2023-11-26
ma³opolskie;3;4;7;0.01;0.01;0.02;0;0;0;0;0;0;19;7;12;0;t12;2023-11-26
mazowieckie;16;4;20;0.03;0.01;0.04;0;0;0;0;0;0;362;21;340;1;t14;2023-11-26
opolskie;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;t16;2023-11-26
podkarpackie;4;0;4;0.02;0;0.02;0;0;0;0;0;0;5;4;1;0;t18;2023-11-26
podlaskie;8;1;9;0.07;0.01;0.08;0;0;0;0;0;0;43;9;33;1;t20;2023-11-26
pomorskie;3;0;3;0.01;0;0.01;0;0;0;0;0;0;14;3;11;0;t22;2023-11-26
œl¹skie;8;1;9;0.02;0.00;0.02;0;0;0;0;0;0;34;9;25;0;t24;2023-11-26
œwiêtokrzyskie;5;3;8;0.04;0.02;0.07;0;0;0;0;0;0;13;8;5;0;t26;2023-11-26
warmiñsko-mazurskie;4;0;4;0.03;0;0.03;0;0;0;0;0;0;10;4;6;0;t28;2023-11-26
wielkopolskie;2;1;3;0.01;0.00;0.01;0;0;0;0;0;0;8;3;5;0;t30;2023-11-26
zachodniopomorskie;2;0;2;0.01;0;0.01;0;0;0;0;0;0;2;2;0;0;t32;2023-11-26
