wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;11539;3.01;259;62;197;17989;8438;188482;53369;12425;40102;842;t00;2021-02-25
dolnoœl¹skie;849;2.93;26;13;13;1138;380;10319;3908;950;2910;48;t02;2021-02-25
kujawsko-pomorskie;743;3.59;14;2;12;1177;545;11621;3602;819;2726;57;t04;2021-02-25
lubelskie;406;1.93;8;1;7;754;350;8112;2289;437;1817;35;t06;2021-02-25
lubuskie;461;4.56;13;7;6;567;220;5977;1774;489;1272;13;t08;2021-02-25
³ódzkie;512;2.09;10;1;9;882;444;9506;3121;549;2503;69;t10;2021-02-25
ma³opolskie;660;1.93;14;8;6;1008;491;10496;3482;737;2705;40;t12;2021-02-25
mazowieckie;2098;3.87;35;11;24;3582;1437;38932;8040;2210;5612;218;t14;2021-02-25
opolskie;157;1.60;11;6;5;193;98;2776;984;165;816;3;t16;2021-02-25
podkarpackie;680;3.20;18;1;17;859;464;10190;2927;787;2120;20;t18;2021-02-25
podlaskie;353;3.00;10;0;10;568;332;5764;1425;368;1036;21;t20;2021-02-25
pomorskie;1050;4.47;20;1;19;1541;765;18719;3828;1106;2627;95;t22;2021-02-25
œl¹skie;1018;2.26;20;4;16;1863;791;14948;4868;1105;3707;56;t24;2021-02-25
œwiêtokrzyskie;201;1.63;10;0;10;319;127;3002;1660;228;1372;60;t26;2021-02-25
warmiñsko-mazurskie;960;6.76;11;1;10;1390;725;14029;2418;990;1395;33;t28;2021-02-25
wielkopolskie;806;2.30;18;6;12;1429;775;15739;3930;857;3044;29;t30;2021-02-25
zachodniopomorskie;395;2.33;21;0;21;708;438;8318;2064;425;1611;28;t32;2021-02-25
