wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;940;101;1041;0.25;0.03;0.27;21;8;13;1421;74;0;15087;1181;13883;23;t00;2022-04-26
dolnoœl¹skie;66;8;74;0.23;0.03;0.26;4;1;3;112;6;0;961;93;868;0;t02;2022-04-26
kujawsko-pomorskie;40;9;49;0.19;0.04;0.24;2;1;1;64;2;0;518;56;462;0;t04;2022-04-26
lubelskie;87;11;98;0.41;0.05;0.47;2;0;2;147;4;0;916;102;810;4;t06;2022-04-26
lubuskie;24;0;24;0.24;0;0.24;1;0;1;32;1;0;295;25;270;0;t08;2022-04-26
³ódzkie;54;6;60;0.22;0.02;0.25;0;0;0;71;4;0;733;67;665;1;t10;2022-04-26
ma³opolskie;76;2;78;0.22;0.01;0.23;1;1;0;136;21;0;1206;84;1121;1;t12;2022-04-26
mazowieckie;174;18;192;0.32;0.03;0.35;1;0;1;237;2;0;2712;221;2486;5;t14;2022-04-26
opolskie;24;6;30;0.24;0.06;0.31;0;0;0;29;0;0;325;32;293;0;t16;2022-04-26
podkarpackie;41;2;43;0.19;0.01;0.20;0;0;0;53;8;0;656;53;603;0;t18;2022-04-26
podlaskie;38;3;41;0.32;0.03;0.35;2;0;2;61;9;0;463;47;413;3;t20;2022-04-26
pomorskie;43;2;45;0.18;0.01;0.19;0;0;0;80;0;0;705;52;651;2;t22;2022-04-26
œl¹skie;118;17;135;0.26;0.04;0.30;3;2;1;165;6;0;1627;149;1476;2;t24;2022-04-26
œwiêtokrzyskie;27;6;33;0.22;0.05;0.27;3;1;2;57;4;0;526;37;488;1;t26;2022-04-26
warmiñsko-mazurskie;21;1;22;0.15;0.01;0.15;0;0;0;35;2;0;643;26;617;0;t28;2022-04-26
wielkopolskie;40;5;45;0.11;0.01;0.13;2;2;0;69;4;0;759;50;707;2;t30;2022-04-26
zachodniopomorskie;35;4;39;0.21;0.02;0.23;0;0;0;70;1;0;983;50;932;1;t32;2022-04-26
