wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;41695;5177;46872;10.87;1.35;12.22;310;84;226;39172;40462;557319;155601;49345;102877;3379;t00;2022-02-08
dolnoœl¹skie;3060;335;3395;10.56;1.16;11.71;20;6;14;2736;3857;35281;10960;3605;7084;271;t02;2022-02-08
kujawsko-pomorskie;3691;531;4222;17.84;2.57;20.40;17;5;12;3593;1757;42270;11336;4393;6675;268;t04;2022-02-08
lubelskie;2166;264;2430;10.30;1.26;11.55;16;5;11;2287;1735;29570;8582;2538;5957;87;t06;2022-02-08
lubuskie;961;123;1084;9.51;1.22;10.73;16;6;10;1347;958;18931;3721;1149;2471;101;t08;2022-02-08
³ódzkie;3009;372;3381;12.29;1.52;13.81;23;17;6;2452;2570;36439;11254;3628;7449;177;t10;2022-02-08
ma³opolskie;2506;291;2797;7.34;0.85;8.19;22;9;13;2297;3052;40758;9938;2950;6762;226;t12;2022-02-08
mazowieckie;5978;678;6656;11.01;1.25;12.26;26;7;19;4615;5831;72781;24097;7000;16515;582;t14;2022-02-08
opolskie;923;149;1072;9.41;1.52;10.93;9;2;7;921;1314;12872;3764;1137;2553;74;t16;2022-02-08
podkarpackie;1092;116;1208;5.14;0.55;5.68;25;1;24;1195;1203;23178;5962;1306;4627;29;t18;2022-02-08
podlaskie;1013;130;1143;8.61;1.10;9.71;9;0;9;1167;696;11677;3904;1213;2639;52;t20;2022-02-08
pomorskie;3038;387;3425;12.95;1.65;14.59;10;2;8;2625;3766;40225;11592;3597;7562;433;t22;2022-02-08
œl¹skie;4646;604;5250;10.31;1.34;11.65;51;8;43;4040;6923;66153;16816;5549;10791;476;t24;2022-02-08
œwiêtokrzyskie;1187;132;1319;9.65;1.07;10.72;11;3;8;1205;670;16652;4217;1383;2752;82;t26;2022-02-08
warmiñsko-mazurskie;1475;243;1718;10.38;1.71;12.09;13;6;7;1630;1200;15223;5984;1803;4110;71;t28;2022-02-08
wielkopolskie;4670;554;5224;13.34;1.58;14.92;26;7;19;4674;3054;74973;14209;5393;8534;282;t30;2022-02-08
zachodniopomorskie;2084;263;2347;12.31;1.55;13.86;16;0;16;2325;1806;20205;7208;2483;4571;154;t32;2022-02-08
