wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1989;727;2716;0.52;0.19;0.71;20;0;20;3165;0;0;10884;2949;7903;32;t00;2023-03-27
dolnoœl¹skie;150;50;200;0.52;0.17;0.69;0;0;0;185;0;0;765;219;544;2;t02;2023-03-27
kujawsko-pomorskie;113;53;166;0.55;0.26;0.80;0;0;0;254;0;0;754;175;572;7;t04;2023-03-27
lubelskie;140;59;199;0.67;0.28;0.95;5;0;5;186;0;0;999;219;774;6;t06;2023-03-27
lubuskie;38;15;53;0.38;0.15;0.52;1;0;1;51;0;0;174;59;115;0;t08;2023-03-27
³ódzkie;97;29;126;0.40;0.12;0.51;2;0;2;223;0;0;516;137;379;0;t10;2023-03-27
ma³opolskie;163;48;211;0.48;0.14;0.62;0;0;0;271;0;0;800;221;579;0;t12;2023-03-27
mazowieckie;401;118;519;0.74;0.22;0.96;0;0;0;446;0;0;1614;553;1059;2;t14;2023-03-27
opolskie;30;14;44;0.31;0.14;0.45;2;0;2;33;0;0;333;55;277;1;t16;2023-03-27
podkarpackie;88;26;114;0.41;0.12;0.54;1;0;1;216;0;0;570;122;448;0;t18;2023-03-27
podlaskie;98;34;132;0.83;0.29;1.12;1;0;1;179;0;0;468;145;320;3;t20;2023-03-27
pomorskie;93;43;136;0.40;0.18;0.58;1;0;1;200;0;0;547;141;405;1;t22;2023-03-27
œl¹skie;163;63;226;0.36;0.14;0.50;4;0;4;306;0;0;1016;254;759;3;t24;2023-03-27
œwiêtokrzyskie;73;30;103;0.59;0.24;0.84;0;0;0;88;0;0;264;112;152;0;t26;2023-03-27
warmiñsko-mazurskie;67;36;103;0.47;0.25;0.73;0;0;0;126;0;0;617;113;504;0;t28;2023-03-27
wielkopolskie;140;43;183;0.40;0.12;0.52;3;0;3;171;0;0;526;197;326;3;t30;2023-03-27
zachodniopomorskie;118;60;178;0.70;0.35;1.05;0;0;0;229;0;0;599;186;410;3;t32;2023-03-27
