wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;9436;2.46;381;92;289;12351;8476;190307;79406;10239;67816;1351;t00
dolnoœl¹skie;463;1.60;16;7;9;730;440;12553;4922;518;4344;60;t02
kujawsko-pomorskie;993;4.80;44;9;35;1135;850;14944;4946;1055;3768;123;t04
lubelskie;403;1.92;38;10;28;577;507;7932;3749;441;3253;55;t06
lubuskie;288;2.85;8;5;3;345;144;5670;2065;319;1735;11;t08
³ódzkie;554;2.26;35;8;27;727;752;12074;5533;601;4848;84;t10
ma³opolskie;337;0.99;12;3;9;546;315;9501;4429;358;3997;74;t12
mazowieckie;1231;2.27;41;9;32;1895;1087;34737;12754;1363;11091;300;t14
opolskie;235;2.40;3;1;2;252;156;4177;1738;252;1451;35;t16
podkarpackie;233;1.10;17;4;13;310;219;5040;3232;253;2944;35;t18
podlaskie;291;2.47;6;0;6;405;186;5395;2088;317;1745;26;t20
pomorskie;878;3.74;16;1;15;1095;669;16750;6242;943;5168;131;t22
œl¹skie;727;1.61;19;0;19;1075;764;14973;8079;784;7218;77;t24
œwiêtokrzyskie;164;1.33;4;1;3;186;125;2786;2608;199;2331;78;t26
warmiñsko-mazurskie;690;4.86;29;4;25;745;640;10657;4036;733;3250;53;t28
wielkopolskie;1058;3.02;65;29;36;1338;901;19651;6753;1134;5502;117;t30
zachodniopomorskie;788;4.65;28;1;27;985;604;13440;4356;849;3435;72;t32
