wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;14857;3.87;245;56;189;25524;12356;243583;62428;15818;45639;971;t00;2021-03-05
dolnoœl¹skie;1233;4.25;15;8;7;1861;935;14326;4728;1315;3375;38;t02;2021-03-05
kujawsko-pomorskie;833;4.03;10;0;10;1515;885;13570;3660;960;2635;65;t04;2021-03-05
lubelskie;429;2.04;10;0;10;947;452;9116;2672;466;2169;37;t06;2021-03-05
lubuskie;642;6.36;21;12;9;740;547;7515;2088;681;1387;20;t08;2021-03-05
³ódzkie;737;3.01;16;5;11;1397;576;12785;3929;789;3078;62;t10;2021-03-05
ma³opolskie;1062;3.11;16;9;7;1797;696;16016;4507;1111;3343;53;t12;2021-03-05
mazowieckie;2504;4.61;27;8;19;4743;1939;50329;9478;2683;6580;215;t14;2021-03-05
opolskie;198;2.02;1;0;1;351;192;3514;1019;216;799;4;t16;2021-03-05
podkarpackie;811;3.81;21;2;19;1293;712;14307;2799;847;1931;21;t18;2021-03-05
podlaskie;448;3.81;11;0;11;712;439;6466;1588;476;1084;28;t20;2021-03-05
pomorskie;1303;5.55;20;0;20;2034;1102;22540;5079;1360;3591;128;t22;2021-03-05
œl¹skie;1536;3.41;24;4;20;3031;1152;23401;5611;1617;3928;66;t24;2021-03-05
œwiêtokrzyskie;268;2.18;4;1;3;536;320;4412;1646;301;1292;53;t26;2021-03-05
warmiñsko-mazurskie;1129;7.95;19;0;19;1555;894;15942;2909;1165;1694;50;t28;2021-03-05
wielkopolskie;962;2.75;20;7;13;2068;907;20683;4598;999;3539;60;t30;2021-03-05
zachodniopomorskie;486;2.87;10;0;10;926;529;8626;2452;531;1872;49;t32;2021-03-05
