wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;28073;7.32;571;145;426;32024;35396;467178;94331;29987;62574;1770;t00;2021-04-02
dolnoœl¹skie;2695;9.30;34;23;11;2561;2923;39588;7487;2820;4564;103;t02;2021-04-02
kujawsko-pomorskie;1126;5.44;42;8;34;1737;2006;21705;4983;1484;3389;110;t04;2021-04-02
lubelskie;1112;5.29;29;1;28;1442;1003;17064;3879;1154;2673;52;t06;2021-04-02
lubuskie;693;6.86;6;5;1;805;958;12549;2751;755;1953;43;t08;2021-04-02
³ódzkie;1548;6.32;68;10;58;2304;1960;28052;5558;1631;3869;58;t10;2021-04-02
ma³opolskie;2295;6.72;53;35;18;2553;2802;40601;7011;2426;4387;198;t12;2021-04-02
mazowieckie;4115;7.58;77;19;58;4258;5283;77433;15230;4488;10391;351;t14;2021-04-02
opolskie;611;6.23;7;0;7;648;619;9547;1860;645;1203;12;t16;2021-04-02
podkarpackie;1252;5.89;45;8;37;1227;1671;23434;3535;1337;2151;47;t18;2021-04-02
podlaskie;438;3.72;8;2;6;651;622;8163;1732;479;1242;11;t20;2021-04-02
pomorskie;2018;8.60;24;2;22;1615;2244;28254;6889;2093;4650;146;t22;2021-04-02
œl¹skie;4506;10.00;80;12;68;5222;5714;66742;11512;4684;6556;272;t24;2021-04-02
œwiêtokrzyskie;860;6.99;13;1;12;815;1101;12653;2855;974;1763;118;t26;2021-04-02
warmiñsko-mazurskie;742;5.22;20;3;17;979;1170;13399;2682;779;1871;32;t28;2021-04-02
wielkopolskie;2779;7.94;52;16;36;3761;3864;51514;8042;2853;5095;94;t30;2021-04-02
zachodniopomorskie;922;5.45;13;0;13;1421;1287;16391;3284;1001;2198;85;t32;2021-04-02
