wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;326;95;421;0.08;0.02;0.11;8;1;7;1120;0;0;5482;481;4985;16;t00;2022-11-25
dolnoœl¹skie;32;10;42;0.11;0.03;0.14;2;0;2;116;0;0;342;44;297;1;t02;2022-11-25
kujawsko-pomorskie;20;3;23;0.10;0.01;0.11;0;0;0;69;0;0;226;26;198;2;t04;2022-11-25
lubelskie;18;7;25;0.09;0.03;0.12;0;0;0;80;0;0;535;31;504;0;t06;2022-11-25
lubuskie;8;4;12;0.08;0.04;0.12;1;0;1;27;0;0;123;13;110;0;t08;2022-11-25
³ódzkie;13;2;15;0.05;0.01;0.06;1;0;1;50;0;0;204;19;183;2;t10;2022-11-25
ma³opolskie;23;2;25;0.07;0.01;0.07;0;0;0;85;0;0;331;27;304;0;t12;2022-11-25
mazowieckie;41;6;47;0.08;0.01;0.09;0;0;0;151;0;0;1000;59;941;0;t14;2022-11-25
opolskie;15;5;20;0.15;0.05;0.20;0;0;0;27;0;0;220;24;194;2;t16;2022-11-25
podkarpackie;12;5;17;0.06;0.02;0.08;0;0;0;42;0;0;270;20;248;2;t18;2022-11-25
podlaskie;10;8;18;0.08;0.07;0.15;1;0;1;63;0;0;173;20;152;1;t20;2022-11-25
pomorskie;23;5;28;0.10;0.02;0.12;1;0;1;54;0;0;182;29;151;2;t22;2022-11-25
œl¹skie;36;13;49;0.08;0.03;0.11;0;0;0;153;0;0;521;57;464;0;t24;2022-11-25
œwiêtokrzyskie;11;4;15;0.09;0.03;0.12;0;0;0;34;0;0;207;15;192;0;t26;2022-11-25
warmiñsko-mazurskie;7;1;8;0.05;0.01;0.06;1;1;0;37;0;0;271;9;262;0;t28;2022-11-25
wielkopolskie;27;10;37;0.08;0.03;0.11;1;0;1;74;0;0;331;41;289;1;t30;2022-11-25
zachodniopomorskie;16;6;22;0.09;0.04;0.13;0;0;0;58;0;0;209;23;186;0;t32;2022-11-25
