wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;7795;2.03;386;88;298;11617;13158;190259;73122;8751;63268;1103;t00
dolnoœl¹skie;477;1.65;19;9;10;667;562;12472;5290;523;4719;48;t02
kujawsko-pomorskie;712;3.44;24;2;22;1093;1237;15006;4597;823;3698;76;t04
lubelskie;355;1.69;25;8;17;591;676;7920;3395;399;2932;64;t06
lubuskie;218;2.16;26;9;17;323;315;5691;1802;273;1513;16;t08
³ódzkie;495;2.02;37;8;29;724;814;11883;4857;535;4261;61;t10
ma³opolskie;321;0.94;16;6;10;459;518;9112;4310;343;3908;59;t12
mazowieckie;946;1.74;56;21;35;1904;1816;34638;11188;1072;9886;230;t14
opolskie;214;2.18;6;0;6;213;204;4345;1874;243;1592;39;t16
podkarpackie;232;1.09;17;1;16;282;305;5151;3332;272;3025;35;t18
podlaskie;277;2.35;7;1;6;331;479;5499;1836;291;1540;5;t20
pomorskie;740;3.15;17;0;17;1060;1113;16921;5658;809;4738;111;t22
œl¹skie;601;1.33;42;3;39;1025;1272;14763;7184;660;6444;80;t24
œwiêtokrzyskie;127;1.03;9;1;8;177;244;2770;2047;154;1833;60;t26
warmiñsko-mazurskie;420;2.96;21;2;19;667;1100;10826;3073;451;2585;37;t28
wielkopolskie;768;2.19;38;15;23;1231;1372;19794;5743;836;4835;72;t30
zachodniopomorskie;749;4.42;26;2;24;862;1011;13442;4153;893;3178;82;t32
