wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;974;0.25;14;3;11;6018;569;86107;41707;1100;40502;105;t00;2021-09-22
dolnoœl¹skie;63;0.22;0;0;0;403;39;6384;2783;74;2701;8;t02;2021-09-22
kujawsko-pomorskie;44;0.21;1;0;1;302;16;2595;1806;55;1736;15;t04;2021-09-22
lubelskie;145;0.69;0;0;0;550;75;6855;2584;153;2420;11;t06;2021-09-22
lubuskie;30;0.30;0;0;0;126;9;2290;1143;31;1106;6;t08;2021-09-22
³ódzkie;43;0.18;2;0;2;390;45;7143;2766;50;2710;6;t10;2021-09-22
ma³opolskie;96;0.28;0;0;0;443;45;4487;3295;105;3180;10;t12;2021-09-22
mazowieckie;156;0.29;2;0;2;934;103;26587;6063;169;5881;13;t14;2021-09-22
opolskie;20;0.20;0;0;0;117;9;1853;932;27;905;0;t16;2021-09-22
podkarpackie;65;0.31;0;0;0;247;32;2351;2537;80;2454;3;t18;2021-09-22
podlaskie;41;0.35;0;0;0;233;29;2217;1102;46;1050;6;t20;2021-09-22
pomorskie;39;0.17;1;0;1;376;33;4416;2381;42;2335;4;t22;2021-09-22
œl¹skie;60;0.13;1;0;1;627;32;5558;4539;74;4457;8;t24;2021-09-22
œwiêtokrzyskie;8;0.07;0;0;0;103;10;1473;1123;10;1112;1;t26;2021-09-22
warmiñsko-mazurskie;40;0.28;0;0;0;213;20;1937;1420;45;1374;1;t28;2021-09-22
wielkopolskie;42;0.12;4;3;1;572;32;6275;2750;50;2692;8;t30;2021-09-22
zachodniopomorskie;69;0.41;3;0;3;377;35;3661;1923;75;1844;4;t32;2021-09-22
