wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;9053;2.36;481;117;364;13735;4907;184488;73911;10008;62669;1234;t00
dolnoœl¹skie;452;1.56;26;9;17;786;205;12267;5115;505;4557;53;t02
kujawsko-pomorskie;910;4.40;44;5;39;1338;597;14623;4753;972;3659;122;t04
lubelskie;493;2.34;21;6;15;705;173;7704;3954;537;3375;42;t06
lubuskie;243;2.41;13;9;4;392;79;5422;2094;293;1780;21;t08
³ódzkie;567;2.32;43;7;36;835;326;11652;5173;628;4459;86;t10
ma³opolskie;383;1.12;35;18;17;564;179;9385;4693;418;4224;51;t12
mazowieckie;1069;1.97;50;15;35;1971;707;33493;9772;1216;8316;240;t14
opolskie;172;1.75;3;1;2;255;69;3975;1382;189;1162;31;t16
podkarpackie;235;1.11;13;2;11;330;116;4825;3436;281;3117;38;t18
podlaskie;333;2.83;26;1;25;459;116;5268;2391;350;2027;14;t20
pomorskie;729;3.11;32;3;29;1224;604;16125;4826;789;3898;139;t22
œl¹skie;818;1.81;37;3;34;1286;397;14743;7431;891;6453;87;t24
œwiêtokrzyskie;131;1.07;12;1;11;225;81;2718;2566;170;2357;39;t26
warmiñsko-mazurskie;626;4.41;19;2;17;819;222;10399;3464;673;2747;44;t28
wielkopolskie;1014;2.90;65;30;35;1504;457;18963;5829;1089;4632;108;t30
zachodniopomorskie;700;4.13;42;5;37;1040;500;12908;4066;795;3184;87;t32
