wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;19452;5.07;65;11;54;1176;26540;625426;74661;20846;52632;1183;t00;2021-12-11
dolnoœl¹skie;1781;6.14;0;0;0;43;2327;52069;5562;1899;3542;121;t02;2021-12-11
kujawsko-pomorskie;975;4.71;0;0;0;79;1269;33315;3610;1035;2512;63;t04;2021-12-11
lubelskie;445;2.12;0;0;0;69;1012;18980;2417;495;1897;25;t06;2021-12-11
lubuskie;654;6.47;2;2;0;14;846;22194;1973;685;1262;26;t08;2021-12-11
³ódzkie;1110;4.53;0;0;0;58;1455;36890;4895;1271;3566;58;t10;2021-12-11
ma³opolskie;1791;5.25;0;0;0;137;2120;53445;6607;1894;4626;87;t12;2021-12-11
mazowieckie;2652;4.89;29;5;24;139;3769;93840;11514;2889;8460;165;t14;2021-12-11
opolskie;835;8.51;0;0;0;11;938;20554;2107;882;1186;39;t16;2021-12-11
podkarpackie;751;3.53;4;1;3;37;1029;22146;3124;811;2303;10;t18;2021-12-11
podlaskie;189;1.61;5;0;5;8;555;10377;1190;202;981;7;t20;2021-12-11
pomorskie;1223;5.21;6;3;3;49;1658;43574;5058;1291;3722;45;t22;2021-12-11
œl¹skie;3044;6.75;3;0;3;130;3878;75771;9866;3209;6488;169;t24;2021-12-11
œwiêtokrzyskie;439;3.57;4;0;4;7;599;14219;1975;476;1451;48;t26;2021-12-11
warmiñsko-mazurskie;628;4.42;7;0;7;20;1023;24668;2281;661;1585;35;t28;2021-12-11
wielkopolskie;1899;5.43;0;0;0;141;2681;71510;6666;2009;4501;156;t30;2021-12-11
zachodniopomorskie;895;5.29;5;0;5;232;1288;31789;3419;980;2326;113;t32;2021-12-11
