wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;21849;5.70;140;40;100;1120;17016;370067;62899;22846;38744;1309;t00;2021-03-20
dolnoœl¹skie;1693;5.84;5;3;2;89;1103;27170;4238;1763;2407;68;t02;2021-03-20
kujawsko-pomorskie;1155;5.58;4;1;3;134;986;19331;3559;1193;2300;66;t04;2021-03-20
lubelskie;633;3.01;4;1;3;60;599;13195;2529;654;1837;38;t06;2021-03-20
lubuskie;701;6.94;9;2;7;23;637;10673;1896;734;1140;22;t08;2021-03-20
³ódzkie;1110;4.53;8;2;6;42;883;20432;3802;1173;2584;45;t10;2021-03-20
ma³opolskie;1715;5.02;5;4;1;51;1307;28793;4595;1812;2676;107;t12;2021-03-20
mazowieckie;3852;7.10;36;6;30;198;2768;67687;11144;4052;6753;339;t14;2021-03-20
opolskie;500;5.10;2;2;0;24;281;7151;1741;516;1207;18;t16;2021-03-20
podkarpackie;1211;5.70;7;1;6;65;1052;21501;3181;1283;1857;41;t18;2021-03-20
podlaskie;351;2.98;7;0;7;14;474;8015;1062;366;681;15;t20;2021-03-20
pomorskie;1213;5.17;1;0;1;66;1523;29592;4019;1265;2651;103;t22;2021-03-20
œl¹skie;3649;8.09;12;1;11;155;1894;45080;8533;3749;4639;145;t24;2021-03-20
œwiêtokrzyskie;461;3.75;0;0;0;21;411;8342;1658;496;1038;124;t26;2021-03-20
warmiñsko-mazurskie;605;4.26;4;0;4;27;877;15899;1790;642;1122;26;t28;2021-03-20
wielkopolskie;2152;6.15;29;15;14;125;1468;34472;5590;2217;3284;89;t30;2021-03-20
zachodniopomorskie;662;3.91;7;2;5;26;617;12612;2210;727;1430;53;t32;2021-03-20
