wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;57659;15.03;262;79;183;59653;22709;1010761;179498;67456;108302;3740;t00;2022-01-26
dolnoœl¹skie;4568;15.76;12;3;9;4543;1885;95129;13078;5271;7481;326;t02;2022-01-26
kujawsko-pomorskie;2498;12.07;18;2;16;2777;998;17528;8151;2948;5112;91;t04;2022-01-26
lubelskie;3287;15.63;11;1;10;3929;1390;61822;11293;3809;7381;103;t06;2022-01-26
lubuskie;759;7.51;22;21;1;1075;266;9558;3226;906;2261;59;t08;2022-01-26
³ódzkie;3099;12.66;11;1;10;4059;1352;76219;10804;3753;6872;179;t10;2022-01-26
ma³opolskie;4281;12.54;24;10;14;3916;2255;43102;12208;4942;6961;305;t12;2022-01-26
mazowieckie;9788;18.03;24;9;15;8177;4037;203058;31954;11255;19725;974;t14;2022-01-26
opolskie;1286;13.11;6;2;4;1660;455;30755;3851;1539;2234;78;t16;2022-01-26
podkarpackie;2666;12.54;25;2;23;2838;1406;64157;8646;3163;5390;93;t18;2022-01-26
podlaskie;1187;10.09;8;0;8;1637;422;21467;4213;1395;2743;75;t20;2022-01-26
pomorskie;5285;22.52;20;1;19;4460;1351;93220;14697;6176;8061;460;t22;2022-01-26
œl¹skie;8511;18.88;34;14;20;8868;2734;168330;22852;9993;12445;414;t24;2022-01-26
œwiêtokrzyskie;1116;9.07;10;1;9;1246;521;9243;3800;1287;2448;65;t26;2022-01-26
warmiñsko-mazurskie;1842;12.97;7;3;4;2250;848;28036;6158;2287;3812;59;t28;2022-01-26
wielkopolskie;4646;13.27;23;8;15;4882;1665;38808;13865;5399;8215;251;t30;2022-01-26
zachodniopomorskie;2575;15.21;7;1;6;3239;1059;50133;8345;3039;5115;191;t32;2022-01-26
