wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;147;0.04;24;4;20;2048;271;59403;48113;221;47771;121;t00;2021-06-23
dolnoœl¹skie;14;0.05;1;0;1;188;25;3873;3160;32;3122;6;t02;2021-06-23
kujawsko-pomorskie;6;0.03;1;0;1;111;12;1291;2004;7;1984;13;t04;2021-06-23
lubelskie;10;0.05;2;0;2;110;29;5405;2430;13;2407;10;t06;2021-06-23
lubuskie;2;0.02;0;0;0;33;4;1084;1159;4;1153;2;t08;2021-06-23
³ódzkie;12;0.05;0;0;0;293;31;4795;3397;20;3372;5;t10;2021-06-23
ma³opolskie;7;0.02;1;1;0;148;13;3084;3518;10;3501;7;t12;2021-06-23
mazowieckie;14;0.03;2;1;1;300;38;21163;7916;20;7880;16;t14;2021-06-23
opolskie;4;0.04;0;0;0;45;8;1158;1125;6;1114;5;t16;2021-06-23
podkarpackie;3;0.01;1;0;1;57;9;1464;2114;8;2102;4;t18;2021-06-23
podlaskie;10;0.08;0;0;0;45;6;801;1219;15;1204;0;t20;2021-06-23
pomorskie;11;0.05;2;0;2;122;14;2659;2943;15;2921;7;t22;2021-06-23
œl¹skie;14;0.03;5;0;5;216;26;3430;5245;17;5209;19;t24;2021-06-23
œwiêtokrzyskie;4;0.03;2;1;1;31;7;2828;1260;4;1250;6;t26;2021-06-23
warmiñsko-mazurskie;6;0.04;2;0;2;59;7;832;1489;7;1479;3;t28;2021-06-23
wielkopolskie;19;0.05;3;1;2;185;26;3799;3445;29;3408;8;t30;2021-06-23
zachodniopomorskie;5;0.03;2;0;2;102;15;1709;1999;7;1986;6;t32;2021-06-23
