wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;20576;5.36;51;6;45;1169;23150;684516;71569;21937;48309;1323;t00;2021-11-27
dolnoœl¹skie;2047;7.06;0;0;0;64;1624;48735;5786;2148;3496;142;t02;2021-11-27
kujawsko-pomorskie;947;4.58;1;0;1;112;1176;38278;3354;1000;2286;68;t04;2021-11-27
lubelskie;763;3.63;0;0;0;83;1554;31499;3147;811;2299;37;t06;2021-11-27
lubuskie;663;6.56;0;0;0;9;484;19780;2021;701;1248;72;t08;2021-11-27
³ódzkie;1207;4.93;0;0;0;87;1416;38250;4662;1360;3259;43;t10;2021-11-27
ma³opolskie;1736;5.09;3;1;2;64;1691;52324;6133;1846;4207;80;t12;2021-11-27
mazowieckie;3294;6.07;27;5;22;191;4398;126289;12181;3564;8274;343;t14;2021-11-27
opolskie;778;7.93;1;0;1;21;577;20772;1915;836;1040;39;t16;2021-11-27
podkarpackie;856;4.03;0;0;0;38;988;26392;3251;931;2303;17;t18;2021-11-27
podlaskie;404;3.43;4;0;4;22;784;16437;1546;435;1087;24;t20;2021-11-27
pomorskie;1250;5.33;0;0;0;45;1364;46290;4419;1298;3067;54;t22;2021-11-27
œl¹skie;2775;6.16;0;0;0;205;2527;74006;8537;2903;5518;116;t24;2021-11-27
œwiêtokrzyskie;367;2.98;2;0;2;11;472;13138;1687;414;1244;29;t26;2021-11-27
warmiñsko-mazurskie;548;3.86;0;0;0;19;831;25874;1773;592;1154;27;t28;2021-11-27
wielkopolskie;1909;5.45;1;0;1;165;2003;73399;6189;1996;4065;128;t30;2021-11-27
zachodniopomorskie;905;5.34;12;0;12;32;1172;32944;3133;964;2080;89;t32;2021-11-27
