wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;12447;3.25;605;155;450;17318;189322;54467;13646;39592;1229;t00;2020-12-15
dolnośląskie;634;2.19;40;7;33;1184;13412;3567;719;2781;67;t02;2020-12-15
kujawsko-pomorskie;1189;5.75;45;7;38;1604;15539;3989;1269;2635;85;t04;2020-12-15
lubelskie;649;3.09;37;6;31;834;9497;2838;708;2090;40;t06;2020-12-15
lubuskie;326;3.23;29;22;7;508;6278;1336;368;920;48;t08;2020-12-15
łódzkie;945;3.86;68;21;47;1170;11940;4051;1028;2880;143;t10;2020-12-15
małopolskie;538;1.58;25;18;7;715;7971;3030;571;2394;65;t12;2020-12-15
mazowieckie;1467;2.7;66;18;48;2532;28386;8381;1693;6510;178;t14;2020-12-15
opolskie;247;2.52;20;0;20;333;4684;1273;278;973;22;t16;2020-12-15
podkarpackie;323;1.52;31;9;22;385;5186;1960;358;1573;29;t18;2020-12-15
podlaskie;369;3.14;29;15;14;410;5071;1476;405;1050;21;t20;2020-12-15
pomorskie;878;3.74;28;6;22;1365;15814;3468;952;2381;135;t22;2020-12-15
śląskie;1338;2.97;48;2;46;1556;15780;5942;1466;4368;108;t24;2020-12-15
świętokrzyskie;182;1.48;11;1;10;261;3287;1548;211;1281;56;t26;2020-12-15
warmińsko-mazurskie;822;5.79;31;5;26;1177;12290;2568;868;1647;53;t28;2020-12-15
wielkopolskie;1375;3.93;73;17;56;1847;21045;4720;1479;3161;80;t30;2020-12-15
zachodniopomorskie;1071;6.33;24;1;23;1434;13139;3056;1158;1810;88;t32;2020-12-15
