wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1644;662;2306;0.43;0.17;0.60;28;10;18;2477;0;0;5678;2418;3244;16;t00;2023-12-22
dolnoœl¹skie;90;26;116;0.31;0.09;0.40;3;2;1;87;0;0;238;121;117;0;t02;2023-12-22
kujawsko-pomorskie;98;54;152;0.47;0.26;0.73;4;1;3;195;0;0;416;157;256;3;t04;2023-12-22
lubelskie;145;72;217;0.69;0.34;1.03;1;0;1;270;0;0;497;237;260;0;t06;2023-12-22
lubuskie;53;16;69;0.52;0.16;0.68;3;2;1;48;0;0;167;70;97;0;t08;2023-12-22
³ódzkie;88;30;118;0.36;0.12;0.48;3;3;0;131;0;0;259;124;135;0;t10;2023-12-22
ma³opolskie;142;37;179;0.42;0.11;0.52;1;0;1;222;0;0;405;186;218;1;t12;2023-12-22
mazowieckie;261;97;358;0.48;0.18;0.66;7;1;6;335;0;0;1017;372;644;1;t14;2023-12-22
opolskie;35;16;51;0.36;0.16;0.52;1;0;1;40;0;0;135;51;83;1;t16;2023-12-22
podkarpackie;101;25;126;0.48;0.12;0.59;0;0;0;153;0;0;293;132;160;1;t18;2023-12-22
podlaskie;53;27;80;0.45;0.23;0.68;1;0;1;105;0;0;192;81;110;1;t20;2023-12-22
pomorskie;59;21;80;0.25;0.09;0.34;0;0;0;78;0;0;195;80;114;1;t22;2023-12-22
œl¹skie;224;95;319;0.50;0.21;0.71;0;0;0;358;0;0;710;348;356;6;t24;2023-12-22
œwiêtokrzyskie;44;21;65;0.36;0.17;0.53;0;0;0;65;0;0;98;69;29;0;t26;2023-12-22
warmiñsko-mazurskie;59;24;83;0.42;0.17;0.58;1;1;0;97;0;0;240;87;153;0;t28;2023-12-22
wielkopolskie;99;47;146;0.28;0.13;0.42;1;0;1;139;0;0;272;147;125;0;t30;2023-12-22
zachodniopomorskie;79;46;125;0.47;0.27;0.74;2;0;2;149;0;0;412;129;282;1;t32;2023-12-22
