wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;11670;3.04;433;144;289;40638;7061;175490;104130;13394;89818;918;t00;2022-01-03
dolnoœl¹skie;1096;3.78;50;31;19;3022;573;14299;6993;1257;5691;45;t02;2022-01-03
kujawsko-pomorskie;687;3.32;57;10;47;2309;367;8569;5704;781;4868;55;t04;2022-01-03
lubelskie;537;2.55;22;4;18;2192;138;6277;5599;627;4944;28;t06;2022-01-03
lubuskie;219;2.17;12;9;3;1081;226;5187;2393;248;2124;21;t08;2022-01-03
³ódzkie;835;3.41;30;7;23;2429;342;10469;7704;982;6655;67;t10;2022-01-03
ma³opolskie;1122;3.29;26;11;15;3582;834;17184;9179;1260;7830;89;t12;2022-01-03
mazowieckie;1690;3.11;28;9;19;5213;1060;27924;14843;1980;12733;130;t14;2022-01-03
opolskie;296;3.02;16;4;12;1083;250;5221;2215;335;1869;11;t16;2022-01-03
podkarpackie;565;2.66;10;0;10;1749;191;7677;6037;642;5372;23;t18;2022-01-03
podlaskie;231;1.96;2;0;2;993;88;2912;2453;254;2183;16;t20;2022-01-03
pomorskie;737;3.14;27;4;23;2641;497;12081;6842;849;5926;67;t22;2022-01-03
œl¹skie;1086;2.41;55;22;33;5219;1002;20822;10485;1266;9080;139;t24;2022-01-03
œwiêtokrzyskie;298;2.42;15;3;12;1046;183;4421;2682;338;2325;19;t26;2022-01-03
warmiñsko-mazurskie;536;3.77;23;7;16;1684;177;5660;4109;593;3493;23;t28;2022-01-03
wielkopolskie;1034;2.95;49;21;28;4058;738;17892;7474;1153;6215;106;t30;2022-01-03
zachodniopomorskie;552;3.26;11;2;9;2263;363;8799;5092;667;4364;61;t32;2022-01-03
