wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;12762;3.33;694;175;519;16218;15406;252098;71738;13901;56645;1192;t00;2021-04-21
dolnoœl¹skie;1376;4.75;54;33;21;1458;1292;23191;6201;1558;4549;94;t02;2021-04-21
kujawsko-pomorskie;695;3.36;28;4;24;975;897;12294;3597;729;2817;51;t04;2021-04-21
lubelskie;555;2.64;22;1;21;774;862;11534;3477;597;2821;59;t06;2021-04-21
lubuskie;351;3.47;27;9;18;420;339;6150;2076;392;1651;33;t08;2021-04-21
³ódzkie;900;3.68;67;11;56;1126;1289;17260;5023;991;3974;58;t10;2021-04-21
ma³opolskie;1075;3.15;40;23;17;1289;1181;22374;4822;1162;3523;137;t12;2021-04-21
mazowieckie;1397;2.57;71;11;60;1934;2289;35388;10485;1568;8678;239;t14;2021-04-21
opolskie;360;3.67;11;1;10;427;248;6357;1658;383;1261;14;t16;2021-04-21
podkarpackie;486;2.29;57;12;45;540;574;10655;3186;527;2636;23;t18;2021-04-21
podlaskie;220;1.87;29;1;28;336;291;4817;1467;239;1217;11;t20;2021-04-21
pomorskie;538;2.29;40;8;32;745;695;12820;3662;586;3019;57;t22;2021-04-21
œl¹skie;2123;4.71;103;19;84;2624;2144;36487;8494;2297;6043;154;t24;2021-04-21
œwiêtokrzyskie;400;3.25;21;1;20;470;510;7880;2150;435;1646;69;t26;2021-04-21
warmiñsko-mazurskie;278;1.96;9;2;7;494;590;6246;1980;297;1668;15;t28;2021-04-21
wielkopolskie;1286;3.67;88;38;50;1769;1451;28296;6219;1329;4793;97;t30;2021-04-21
zachodniopomorskie;601;3.55;27;1;26;818;683;9973;3510;669;2778;63;t32;2021-04-21
