wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;249;25;274;0.06;0.01;0.07;6;3;3;465;12;0;5470;305;5155;10;t00;2022-06-08
dolnoœl¹skie;20;1;21;0.07;0.00;0.07;1;1;0;34;1;0;240;23;217;0;t02;2022-06-08
kujawsko-pomorskie;11;1;12;0.05;0.00;0.06;0;0;0;24;1;0;173;14;159;0;t04;2022-06-08
lubelskie;9;1;10;0.04;0.00;0.05;2;1;1;26;2;0;402;14;387;1;t06;2022-06-08
lubuskie;5;0;5;0.05;0;0.05;0;0;0;5;0;0;86;5;81;0;t08;2022-06-08
³ódzkie;11;0;11;0.04;0;0.04;1;0;1;43;1;0;298;13;283;2;t10;2022-06-08
ma³opolskie;22;2;24;0.06;0.01;0.07;0;0;0;34;0;0;477;27;449;1;t12;2022-06-08
mazowieckie;63;7;70;0.12;0.01;0.13;2;1;1;83;0;0;1114;76;1037;1;t14;2022-06-08
opolskie;5;0;5;0.05;0;0.05;0;0;0;11;0;0;187;5;182;0;t16;2022-06-08
podkarpackie;13;0;13;0.06;0;0.06;0;0;0;14;4;0;319;15;304;0;t18;2022-06-08
podlaskie;10;1;11;0.08;0.01;0.09;0;0;0;24;1;0;180;11;168;1;t20;2022-06-08
pomorskie;26;2;28;0.11;0.01;0.12;0;0;0;49;0;0;246;29;216;1;t22;2022-06-08
œl¹skie;23;5;28;0.05;0.01;0.06;0;0;0;79;1;0;422;30;391;1;t24;2022-06-08
œwiêtokrzyskie;6;2;8;0.05;0.02;0.07;0;0;0;6;1;0;197;8;189;0;t26;2022-06-08
warmiñsko-mazurskie;7;1;8;0.05;0.01;0.06;0;0;0;9;0;0;280;10;270;0;t28;2022-06-08
wielkopolskie;6;0;6;0.02;0;0.02;0;0;0;11;0;0;247;6;239;2;t30;2022-06-08
zachodniopomorskie;3;2;5;0.02;0.01;0.03;0;0;0;13;0;0;112;9;103;0;t32;2022-06-08
