wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;19;11;30;0.00;0.00;0.01;0;0;0;178;0;0;861;34;825;2;t00;2024-05-06
dolnoœl¹skie;0;1;1;0;0.00;0.00;0;0;0;8;0;0;16;1;15;0;t02;2024-05-06
kujawsko-pomorskie;2;0;2;0.01;0;0.01;0;0;0;6;0;0;75;2;71;2;t04;2024-05-06
lubelskie;1;0;1;0.00;0;0.00;0;0;0;22;0;0;49;1;48;0;t06;2024-05-06
lubuskie;0;0;0;0;0;0;0;0;0;1;0;0;3;0;3;0;t08;2024-05-06
³ódzkie;0;0;0;0;0;0;0;0;0;5;0;0;7;0;7;0;t10;2024-05-06
ma³opolskie;1;0;1;0.00;0;0.00;0;0;0;12;0;0;29;1;28;0;t12;2024-05-06
mazowieckie;8;2;10;0.01;0.00;0.02;0;0;0;32;0;0;372;10;362;0;t14;2024-05-06
opolskie;2;0;2;0.02;0;0.02;0;0;0;0;0;0;30;2;28;0;t16;2024-05-06
podkarpackie;1;0;1;0.00;0;0.00;0;0;0;10;0;0;25;1;24;0;t18;2024-05-06
podlaskie;1;2;3;0.01;0.02;0.03;0;0;0;11;0;0;35;3;32;0;t20;2024-05-06
pomorskie;1;0;1;0.00;0;0.00;0;0;0;10;0;0;31;1;30;0;t22;2024-05-06
œl¹skie;0;3;3;0;0.01;0.01;0;0;0;36;0;0;71;7;64;0;t24;2024-05-06
œwiêtokrzyskie;0;0;0;0;0;0;0;0;0;4;0;0;7;0;7;0;t26;2024-05-06
warmiñsko-mazurskie;1;0;1;0.01;0;0.01;0;0;0;7;0;0;19;1;18;0;t28;2024-05-06
wielkopolskie;1;2;3;0.00;0.01;0.01;0;0;0;7;0;0;25;3;22;0;t30;2024-05-06
zachodniopomorskie;0;1;1;0;0.01;0.01;0;0;0;7;0;0;21;1;20;0;t32;2024-05-06
