wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;164;0.04;4;0;4;1594;105;75282;41833;200;41539;94;t00;2021-08-03
dolnoœl¹skie;7;0.02;0;0;0;90;4;6961;2893;7;2880;6;t02;2021-08-03
kujawsko-pomorskie;10;0.05;0;0;0;69;7;2357;1748;11;1732;5;t04;2021-08-03
lubelskie;12;0.06;1;0;1;92;9;3554;2074;12;2061;1;t06;2021-08-03
lubuskie;1;0.01;1;0;1;38;1;1803;999;2;993;4;t08;2021-08-03
³ódzkie;9;0.04;0;0;0;150;1;6311;2855;13;2838;4;t10;2021-08-03
ma³opolskie;27;0.08;0;0;0;124;17;5043;3100;32;3064;4;t12;2021-08-03
mazowieckie;29;0.05;0;0;0;300;19;20826;5591;40;5528;23;t14;2021-08-03
opolskie;3;0.03;0;0;0;35;0;1876;1101;4;1095;2;t16;2021-08-03
podkarpackie;9;0.04;1;0;1;80;1;2643;2287;9;2274;4;t18;2021-08-03
podlaskie;11;0.09;0;0;0;35;8;1868;924;11;912;1;t20;2021-08-03
pomorskie;9;0.04;0;0;0;136;3;4125;2552;10;2537;5;t22;2021-08-03
œl¹skie;11;0.02;0;0;0;185;14;6091;4742;16;4715;11;t24;2021-08-03
œwiêtokrzyskie;2;0.02;0;0;0;30;3;1465;1305;3;1301;1;t26;2021-08-03
warmiñsko-mazurskie;2;0.01;1;0;1;52;1;1373;1244;4;1240;0;t28;2021-08-03
wielkopolskie;7;0.02;0;0;0;108;8;6459;2568;10;2554;4;t30;2021-08-03
zachodniopomorskie;7;0.04;0;0;0;66;7;2502;1856;8;1847;1;t32;2021-08-03
