wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;456;114;570;0.12;0.03;0.15;9;4;5;1187;0;0;7217;665;6524;28;t00;2023-01-03
dolnoœl¹skie;38;8;46;0.13;0.03;0.16;1;1;0;46;0;0;359;48;311;0;t02;2023-01-03
kujawsko-pomorskie;21;13;34;0.10;0.06;0.16;0;0;0;54;0;0;355;38;314;3;t04;2023-01-03
lubelskie;25;5;30;0.12;0.02;0.14;0;0;0;58;0;0;502;33;468;1;t06;2023-01-03
lubuskie;9;5;14;0.09;0.05;0.14;0;0;0;40;0;0;169;14;154;1;t08;2023-01-03
³ódzkie;27;10;37;0.11;0.04;0.15;0;0;0;76;0;0;324;40;283;1;t10;2023-01-03
ma³opolskie;41;8;49;0.12;0.02;0.14;1;0;1;109;0;0;474;51;422;1;t12;2023-01-03
mazowieckie;62;12;74;0.11;0.02;0.14;3;2;1;181;0;0;1131;83;1048;0;t14;2023-01-03
opolskie;23;4;27;0.23;0.04;0.28;0;0;0;31;0;0;248;35;211;2;t16;2023-01-03
podkarpackie;18;3;21;0.08;0.01;0.10;1;0;1;19;0;0;303;22;281;0;t18;2023-01-03
podlaskie;12;2;14;0.10;0.02;0.12;0;0;0;42;0;0;277;15;262;0;t20;2023-01-03
pomorskie;27;10;37;0.12;0.04;0.16;0;0;0;76;0;0;649;43;603;3;t22;2023-01-03
œl¹skie;55;12;67;0.12;0.03;0.15;0;0;0;155;0;0;666;94;566;6;t24;2023-01-03
œwiêtokrzyskie;16;5;21;0.13;0.04;0.17;2;1;1;95;0;0;320;24;295;1;t26;2023-01-03
warmiñsko-mazurskie;13;4;17;0.09;0.03;0.12;0;0;0;51;0;0;323;25;297;1;t28;2023-01-03
wielkopolskie;36;6;42;0.10;0.02;0.12;0;0;0;68;0;0;452;47;399;6;t30;2023-01-03
zachodniopomorskie;19;6;25;0.11;0.04;0.15;1;0;1;84;0;0;293;30;262;1;t32;2023-01-03
