wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;36995;9.65;252;63;189;80209;16406;946658;141880;43488;96164;2228;t00;2022-01-24
dolnoœl¹skie;3167;10.93;15;6;9;6544;1452;87803;10552;3773;6575;204;t02;2022-01-24
kujawsko-pomorskie;1147;5.54;20;2;18;3297;482;17792;5655;1384;4216;55;t04;2022-01-24
lubelskie;2453;11.66;8;2;6;5348;576;51391;8850;2824;5962;64;t06;2022-01-24
lubuskie;451;4.46;5;0;5;1420;289;9844;2582;535;2006;41;t08;2022-01-24
³ódzkie;2473;10.10;27;4;23;5309;699;64619;9943;2882;6938;123;t10;2022-01-24
ma³opolskie;3230;9.46;37;19;18;5259;2478;46747;10826;3803;6866;157;t12;2022-01-24
mazowieckie;6340;11.68;19;6;13;11035;3096;188780;24607;7292;16771;544;t14;2022-01-24
opolskie;875;8.92;7;1;6;2427;342;27026;3247;1036;2170;41;t16;2022-01-24
podkarpackie;2004;9.43;3;0;3;4277;812;62887;7556;2352;5162;42;t18;2022-01-24
podlaskie;922;7.84;3;0;3;1944;244;20034;3582;1142;2413;27;t20;2022-01-24
pomorskie;2175;9.27;12;1;11;5686;1078;84995;8670;2542;5911;217;t22;2022-01-24
œl¹skie;5509;12.22;43;13;30;12719;2260;157958;17924;6501;11034;389;t24;2022-01-24
œwiêtokrzyskie;876;7.12;12;0;12;1702;339;9460;3456;1055;2342;59;t26;2022-01-24
warmiñsko-mazurskie;1461;10.29;14;5;9;2851;419;28452;6102;1774;4274;54;t28;2022-01-24
wielkopolskie;2536;7.24;21;4;17;6383;1179;44962;9764;2907;6761;96;t30;2022-01-24
zachodniopomorskie;1168;6.90;6;0;6;3918;602;43739;6142;1468;4576;98;t32;2022-01-24
