wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;251;0.07;3;2;1;1919;244;56581;37768;291;37424;53;t00;2021-08-25
dolnoœl¹skie;23;0.08;0;0;0;127;17;5442;2443;25;2415;3;t02;2021-08-25
kujawsko-pomorskie;9;0.04;0;0;0;108;10;1642;1565;10;1550;5;t04;2021-08-25
lubelskie;7;0.03;0;0;0;101;14;2671;1765;9;1753;3;t06;2021-08-25
lubuskie;6;0.06;1;0;1;35;7;1479;949;7;941;1;t08;2021-08-25
³ódzkie;18;0.07;2;2;0;138;11;4101;2528;26;2499;3;t10;2021-08-25
ma³opolskie;23;0.07;0;0;0;172;31;3659;2875;27;2844;4;t12;2021-08-25
mazowieckie;37;0.07;0;0;0;376;36;16501;4838;44;4790;4;t14;2021-08-25
opolskie;7;0.07;0;0;0;43;1;1326;992;7;984;1;t16;2021-08-25
podkarpackie;16;0.08;0;0;0;86;16;1702;2234;19;2212;3;t18;2021-08-25
podlaskie;10;0.08;0;0;0;58;20;1255;1021;11;1010;0;t20;2021-08-25
pomorskie;11;0.05;0;0;0;125;19;3242;2232;15;2215;2;t22;2021-08-25
œl¹skie;29;0.06;0;0;0;192;19;4790;4118;33;4076;9;t24;2021-08-25
œwiêtokrzyskie;10;0.08;0;0;0;31;11;758;1110;10;1098;2;t26;2021-08-25
warmiñsko-mazurskie;9;0.06;0;0;0;84;7;1142;1493;10;1480;3;t28;2021-08-25
wielkopolskie;13;0.04;0;0;0;150;9;4887;2200;13;2185;2;t30;2021-08-25
zachodniopomorskie;11;0.06;0;0;0;93;11;1953;1608;13;1590;5;t32;2021-08-25
