wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;3594;727;4321;0.94;0.19;1.13;20;6;14;3909;4;0;12268;4594;7629;45;t00;2022-08-10
dolnoœl¹skie;235;47;282;0.81;0.16;0.97;1;1;0;203;0;0;764;294;470;0;t02;2022-08-10
kujawsko-pomorskie;167;30;197;0.81;0.14;0.95;1;0;1;175;0;0;520;210;308;2;t04;2022-08-10
lubelskie;197;35;232;0.94;0.17;1.10;6;2;4;198;0;0;811;258;553;0;t06;2022-08-10
lubuskie;72;16;88;0.71;0.16;0.87;1;0;1;79;0;0;242;88;146;8;t08;2022-08-10
³ódzkie;251;45;296;1.03;0.18;1.21;2;0;2;301;0;0;691;309;378;4;t10;2022-08-10
ma³opolskie;318;63;381;0.93;0.18;1.12;0;0;0;411;0;0;1122;401;718;3;t12;2022-08-10
mazowieckie;619;122;741;1.14;0.22;1.37;1;1;0;653;0;0;2126;780;1341;5;t14;2022-08-10
opolskie;79;14;93;0.81;0.14;0.95;0;0;0;91;1;0;315;95;220;0;t16;2022-08-10
podkarpackie;170;23;193;0.80;0.11;0.91;0;0;0;142;1;0;531;211;319;1;t18;2022-08-10
podlaskie;168;41;209;1.43;0.35;1.78;1;0;1;202;0;0;481;227;253;1;t20;2022-08-10
pomorskie;193;47;240;0.82;0.20;1.02;0;0;0;232;1;0;581;252;326;3;t22;2022-08-10
œl¹skie;445;108;553;0.99;0.24;1.23;1;0;1;528;1;0;1437;585;847;5;t24;2022-08-10
œwiêtokrzyskie;110;15;125;0.89;0.12;1.02;2;2;0;149;0;0;446;131;315;0;t26;2022-08-10
warmiñsko-mazurskie;138;27;165;0.97;0.19;1.16;0;0;0;148;0;0;587;182;403;2;t28;2022-08-10
wielkopolskie;251;46;297;0.72;0.13;0.85;4;0;4;246;0;0;753;320;428;5;t30;2022-08-10
zachodniopomorskie;123;45;168;0.73;0.27;0.99;0;0;0;143;0;0;417;182;232;3;t32;2022-08-10
