wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;12430;3.24;502;104;398;17804;275582;65627;14323;49585;1719;t00;2020-12-04
dolnośląskie;918;3.17;22;4;18;1179;21145;3966;1063;2814;89;t02;2020-12-04
kujawsko-pomorskie;1093;5.28;14;10;4;1535;19928;13265;1174;11939;152;t04;2020-12-04
lubelskie;732;3.48;48;14;34;960;15228;2720;799;1840;81;t06;2020-12-04
lubuskie;340;3.37;16;4;12;510;8817;1384;399;932;53;t08;2020-12-04
łódzkie;895;3.65;44;5;39;1221;17302;4115;999;3002;114;t10;2020-12-04
małopolskie;551;1.61;35;16;19;774;13536;4438;666;3644;128;t12;2020-12-04
mazowieckie;1579;2.91;45;5;40;2629;39807;10354;2038;7954;362;t14;2020-12-04
opolskie;359;3.66;23;1;22;468;7972;1263;425;816;22;t16;2020-12-04
podkarpackie;257;1.21;31;5;26;446;8868;1494;334;1143;17;t18;2020-12-04
podlaskie;285;2.42;24;3;21;525;7452;1228;307;910;11;t20;2020-12-04
pomorskie;970;4.13;45;8;37;1306;20098;4082;1042;2800;240;t22;2020-12-04
śląskie;1285;2.85;51;0;51;1744;25983;5462;1522;3813;127;t24;2020-12-04
świętokrzyskie;205;1.67;22;3;19;303;5440;1162;285;816;61;t26;2020-12-04
warmińsko-mazurskie;760;5.35;18;0;18;1166;16954;2493;782;1654;57;t28;2020-12-04
wielkopolskie;1194;3.41;44;26;18;1811;31272;4845;1365;3380;100;t30;2020-12-04
zachodniopomorskie;978;5.78;20;0;20;1227;15779;3114;1089;1928;97;t32;2020-12-04
