wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;590;244;834;0.15;0.06;0.22;2;1;1;629;0;0;1828;853;974;1;t00;2024-08-13
dolnoœl¹skie;28;12;40;0.10;0.04;0.14;0;0;0;16;0;0;83;40;43;0;t02;2024-08-13
kujawsko-pomorskie;45;21;66;0.22;0.10;0.32;0;0;0;50;0;0;140;66;74;0;t04;2024-08-13
lubelskie;61;32;93;0.29;0.15;0.44;0;0;0;81;0;0;139;96;43;0;t06;2024-08-13
lubuskie;12;4;16;0.12;0.04;0.16;1;1;0;5;0;0;32;16;16;0;t08;2024-08-13
³ódzkie;31;10;41;0.13;0.04;0.17;1;0;1;33;0;0;60;41;19;0;t10;2024-08-13
ma³opolskie;51;12;63;0.15;0.04;0.18;0;0;0;45;0;0;113;63;50;0;t12;2024-08-13
mazowieckie;92;49;141;0.17;0.09;0.26;0;0;0;81;0;0;495;144;351;0;t14;2024-08-13
opolskie;11;6;17;0.11;0.06;0.17;0;0;0;6;0;0;48;18;30;0;t16;2024-08-13
podkarpackie;42;14;56;0.20;0.07;0.26;0;0;0;50;0;0;100;59;41;0;t18;2024-08-13
podlaskie;37;10;47;0.31;0.08;0.40;0;0;0;46;0;0;73;48;25;0;t20;2024-08-13
pomorskie;17;9;26;0.07;0.04;0.11;0;0;0;34;0;0;70;28;42;0;t22;2024-08-13
œl¹skie;39;16;55;0.09;0.04;0.12;0;0;0;56;0;0;113;55;58;0;t24;2024-08-13
œwiêtokrzyskie;18;10;28;0.15;0.08;0.23;0;0;0;21;0;0;36;28;7;1;t26;2024-08-13
warmiñsko-mazurskie;29;15;44;0.20;0.11;0.31;0;0;0;40;0;0;85;45;40;0;t28;2024-08-13
wielkopolskie;43;14;57;0.12;0.04;0.16;0;0;0;35;0;0;102;57;45;0;t30;2024-08-13
zachodniopomorskie;30;7;37;0.18;0.04;0.22;0;0;0;28;0;0;93;39;54;0;t32;2024-08-13
