wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;7190;1.87;309;72;237;27776;173475;40534;8497;31239;798;t00;2020-12-21
dolnośląskie;418;1.44;20;6;14;1559;11586;2942;501;2388;53;t02;2020-12-21
kujawsko-pomorskie;783;3.78;32;5;27;2600;14572;3404;884;2455;65;t04;2020-12-21
lubelskie;532;2.53;27;9;18;1417;8636;2291;591;1673;27;t06;2020-12-21
lubuskie;146;1.45;5;2;3;804;5711;984;183;791;10;t08;2020-12-21
łódzkie;459;1.87;22;3;19;1883;10723;2687;546;2083;58;t10;2020-12-21
małopolskie;198;0.58;25;13;12;1045;6569;2071;244;1788;39;t12;2020-12-21
mazowieckie;889;1.64;29;11;18;3960;26276;5782;1094;4580;108;t14;2020-12-21
opolskie;92;0.94;19;3;16;510;3758;596;110;484;2;t16;2020-12-21
podkarpackie;224;1.05;11;2;9;612;4611;1942;358;1557;27;t18;2020-12-21
podlaskie;176;1.5;4;0;4;798;4794;946;208;730;8;t20;2020-12-21
pomorskie;708;3.02;12;5;7;2219;15688;2980;799;2013;168;t22;2020-12-21
śląskie;721;1.6;20;1;19;2395;13935;4222;841;3311;70;t24;2020-12-21
świętokrzyskie;151;1.23;15;2;13;378;2545;1119;193;908;18;t26;2020-12-21
warmińsko-mazurskie;586;4.13;20;5;15;2034;11262;2300;646;1617;37;t28;2020-12-21
wielkopolskie;584;1.67;24;4;20;3242;19282;2826;657;2131;38;t30;2020-12-21
zachodniopomorskie;396;2.34;24;1;23;2308;13521;1638;489;1100;49;t32;2020-12-21
