wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;10992;2.87;426;122;304;16528;201353;48656;11925;35524;1207;t00;2020-12-17
dolnośląskie;684;2.36;32;15;17;999;13770;3073;739;2245;89;t02;2020-12-17
kujawsko-pomorskie;1055;5.1;27;5;22;1550;16834;3935;1119;2740;76;t04;2020-12-17
lubelskie;540;2.57;21;3;18;895;10010;2226;599;1582;45;t06;2020-12-17
lubuskie;427;4.23;27;20;7;493;6603;1567;477;1035;55;t08;2020-12-17
łódzkie;659;2.69;34;14;20;960;12466;3379;729;2557;93;t10;2020-12-17
małopolskie;409;1.2;21;10;11;659;8091;2589;446;2087;56;t12;2020-12-17
mazowieckie;1428;2.63;46;12;34;2432;30147;7383;1571;5603;209;t14;2020-12-17
opolskie;250;2.55;13;1;12;326;4742;1259;272;966;21;t16;2020-12-17
podkarpackie;172;0.81;29;7;22;384;5565;1723;211;1495;17;t18;2020-12-17
podlaskie;265;2.25;12;6;6;378;5298;1113;292;794;27;t20;2020-12-17
pomorskie;954;4.07;23;6;17;1437;17508;3154;1006;1991;157;t22;2020-12-17
śląskie;924;2.05;46;7;39;1485;16382;4665;1014;3560;91;t24;2020-12-17
świętokrzyskie;179;1.46;14;0;14;243;3222;1119;221;847;51;t26;2020-12-17
warmińsko-mazurskie;838;5.9;19;1;18;1066;13181;2584;876;1662;46;t28;2020-12-17
wielkopolskie;1151;3.29;33;13;20;1851;22491;4146;1219;2828;99;t30;2020-12-17
zachodniopomorskie;965;5.7;29;2;27;1365;15039;3030;1026;1947;57;t32;2020-12-17
