wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;8315;2.17;411;94;317;30246;231665;48586;10483;36901;1202;t00;2020-12-07
dolnośląskie;570;1.97;37;7;30;2253;17630;3098;714;2329;55;t02;2020-12-07
kujawsko-pomorskie;696;3.36;19;7;12;2580;17363;4498;877;3531;90;t04;2020-12-07
lubelskie;418;1.99;17;5;12;1576;12297;2528;513;1965;50;t06;2020-12-07
lubuskie;175;1.73;15;2;13;917;7643;1337;258;1041;38;t08;2020-12-07
łódzkie;565;2.31;35;11;24;1970;14866;3606;744;2755;107;t10;2020-12-07
małopolskie;1079;3.16;50;18;32;1271;10472;3601;1168;2333;100;t12;2020-12-07
mazowieckie;973;1.79;38;18;20;4016;34303;7317;1302;5813;202;t14;2020-12-07
opolskie;141;1.44;18;2;16;723;6527;976;184;769;23;t16;2020-12-07
podkarpackie;204;0.96;21;5;16;707;6756;2276;350;1892;34;t18;2020-12-07
podlaskie;196;1.67;2;0;2;853;6159;1125;244;872;9;t20;2020-12-07
pomorskie;523;2.23;23;4;19;2178;17349;2949;668;2139;142;t22;2020-12-07
śląskie;850;1.89;64;6;58;2995;21156;4583;995;3491;97;t24;2020-12-07
świętokrzyskie;191;1.55;8;0;8;481;4124;1438;288;1088;62;t26;2020-12-07
warmińsko-mazurskie;532;3.75;27;0;27;2039;14888;2376;665;1642;69;t28;2020-12-07
wielkopolskie;584;1.67;21;7;14;3432;26315;3400;774;2570;56;t30;2020-12-07
zachodniopomorskie;489;2.89;16;2;14;2253;13816;1940;597;1304;39;t32;2020-12-07
