wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;7316;1.91;3;0;3;587;9569;351367;37270;7997;28952;321;t00;2021-11-07
dolnoœl¹skie;471;1.62;0;0;0;16;479;17513;2073;495;1552;26;t02;2021-11-07
kujawsko-pomorskie;253;1.22;0;0;0;45;392;14342;1563;269;1275;19;t04;2021-11-07
lubelskie;730;3.47;0;0;0;62;1607;32003;2666;808;1838;20;t06;2021-11-07
lubuskie;80;0.79;0;0;0;12;167;7745;639;87;549;3;t08;2021-11-07
³ódzkie;519;2.12;0;0;0;31;541;23034;2452;607;1829;16;t10;2021-11-07
ma³opolskie;494;1.45;0;0;0;23;494;17406;3004;542;2445;17;t12;2021-11-07
mazowieckie;1878;3.46;1;0;1;139;2071;84746;7730;2078;5578;74;t14;2021-11-07
opolskie;100;1.02;0;0;0;21;149;6699;695;105;589;1;t16;2021-11-07
podkarpackie;327;1.54;0;0;0;27;420;14789;2043;361;1673;9;t18;2021-11-07
podlaskie;347;2.95;0;0;0;17;679;19772;1206;384;818;4;t20;2021-11-07
pomorskie;404;1.72;0;0;0;16;457;24060;2220;431;1757;32;t22;2021-11-07
œl¹skie;449;1.00;0;0;0;33;601;22306;3272;485;2750;37;t24;2021-11-07
œwiêtokrzyskie;107;0.87;0;0;0;4;173;5716;1057;124;928;5;t26;2021-11-07
warmiñsko-mazurskie;231;1.63;1;0;1;21;349;15463;1056;242;809;5;t28;2021-11-07
wielkopolskie;380;1.09;1;0;1;31;479;26200;2231;395;1810;26;t30;2021-11-07
zachodniopomorskie;447;2.64;0;0;0;89;457;19549;1785;481;1279;25;t32;2021-11-07
