wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;197;0.05;4;2;2;1732;234;60042;38238;243;37944;51;t00;2021-08-18
dolnoœl¹skie;13;0.04;0;0;0;122;15;5797;2440;15;2422;3;t02;2021-08-18
kujawsko-pomorskie;7;0.03;0;0;0;93;14;1764;1557;9;1544;4;t04;2021-08-18
lubelskie;13;0.06;0;0;0;90;27;2738;1848;14;1831;3;t06;2021-08-18
lubuskie;3;0.03;0;0;0;35;6;1486;850;3;847;0;t08;2021-08-18
³ódzkie;13;0.05;0;0;0;104;5;4520;2583;15;2563;5;t10;2021-08-18
ma³opolskie;25;0.07;1;0;1;156;27;3734;2883;32;2849;2;t12;2021-08-18
mazowieckie;29;0.05;2;2;0;314;27;17232;5070;33;5030;7;t14;2021-08-18
opolskie;8;0.08;0;0;0;50;3;1548;1077;8;1069;0;t16;2021-08-18
podkarpackie;15;0.07;0;0;0;73;14;1869;2136;28;2106;2;t18;2021-08-18
podlaskie;7;0.06;0;0;0;55;33;1271;1021;8;1012;1;t20;2021-08-18
pomorskie;16;0.07;0;0;0;136;13;3554;2232;18;2208;6;t22;2021-08-18
œl¹skie;14;0.03;1;0;1;203;14;5099;4151;20;4123;8;t24;2021-08-18
œwiêtokrzyskie;1;0.01;0;0;0;24;5;883;1099;5;1093;1;t26;2021-08-18
warmiñsko-mazurskie;5;0.04;0;0;0;67;9;1173;1434;6;1427;1;t28;2021-08-18
wielkopolskie;9;0.03;0;0;0;146;9;5257;2461;9;2448;4;t30;2021-08-18
zachodniopomorskie;11;0.06;0;0;0;61;12;2088;1630;12;1617;1;t32;2021-08-18
