wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;16896;4.41;429;122;307;24637;18059;261636;103702;19668;82804;1230;t00;2022-01-14
dolnoœl¹skie;1370;4.73;81;11;70;1748;1718;21191;6448;1550;4832;66;t02;2022-01-14
kujawsko-pomorskie;644;3.11;22;1;21;1185;821;9825;5328;754;4520;54;t04;2022-01-14
lubelskie;869;4.13;17;4;13;1445;778;11534;5487;982;4462;43;t06;2022-01-14
lubuskie;248;2.46;11;8;3;514;405;5262;2485;273;2183;29;t08;2022-01-14
³ódzkie;683;2.79;25;12;13;1425;920;13953;5546;847;4653;46;t10;2022-01-14
ma³opolskie;2290;6.71;43;21;22;2689;2309;28731;11859;2815;8881;163;t12;2022-01-14
mazowieckie;2759;5.08;54;25;29;3452;2767;48126;15330;3166;11845;319;t14;2022-01-14
opolskie;381;3.88;8;3;5;615;529;7312;2075;456;1589;30;t16;2022-01-14
podkarpackie;1122;5.28;31;4;27;1399;917;14216;5666;1290;4358;18;t18;2022-01-14
podlaskie;257;2.18;10;1;9;543;302;4821;1902;284;1608;10;t20;2022-01-14
pomorskie;1181;5.03;11;1;10;1616;1130;19358;6433;1347;4980;106;t22;2022-01-14
œl¹skie;2055;4.56;37;14;23;3260;2024;31708;11000;2381;8481;138;t24;2022-01-14
œwiêtokrzyskie;395;3.21;19;5;14;570;408;5254;2704;476;2192;36;t26;2022-01-14
warmiñsko-mazurskie;493;3.47;7;2;5;791;523;7602;3552;579;2956;17;t28;2022-01-14
wielkopolskie;1413;4.04;34;8;26;2081;1630;21616;10246;1619;8548;79;t30;2022-01-14
zachodniopomorskie;598;3.53;19;2;17;1264;803;11027;4163;700;3412;51;t32;2022-01-14
