wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;5178;1.35;196;44;152;21955;5108;139469;46241;5936;39773;532;t00;2021-02-15
dolnoœl¹skie;258;0.89;11;7;4;1351;285;7314;3166;324;2803;39;t02;2021-02-15
kujawsko-pomorskie;384;1.86;19;2;17;1691;455;9736;2989;430;2516;43;t04;2021-02-15
lubelskie;254;1.21;13;1;12;961;228;5955;2284;283;1984;17;t06;2021-02-15
lubuskie;158;1.56;7;3;4;833;184;4625;1542;171;1351;20;t08;2021-02-15
³ódzkie;355;1.45;16;3;13;1228;230;8214;3260;399;2806;55;t10;2021-02-15
ma³opolskie;224;0.66;16;8;8;1142;223;6649;2986;253;2691;42;t12;2021-02-15
mazowieckie;824;1.52;24;9;15;3592;849;27802;5959;940;4930;89;t14;2021-02-15
opolskie;49;0.50;5;0;5;337;95;2268;1177;53;1112;12;t16;2021-02-15
podkarpackie;279;1.31;4;1;3;923;244;5902;2625;379;2237;9;t18;2021-02-15
podlaskie;198;1.68;2;0;2;798;166;4648;1143;221;907;15;t20;2021-02-15
pomorskie;404;1.72;22;3;19;1793;626;13584;2501;444;2011;46;t22;2021-02-15
œl¹skie;342;0.76;23;3;20;2086;378;10383;4464;405;4035;24;t24;2021-02-15
œwiêtokrzyskie;73;0.59;7;1;6;369;78;2080;1308;104;1185;19;t26;2021-02-15
warmiñsko-mazurskie;616;4.34;16;2;14;1632;271;10605;2837;647;2160;30;t28;2021-02-15
wielkopolskie;379;1.08;5;1;4;2047;514;12477;3362;445;2880;37;t30;2021-02-15
zachodniopomorskie;245;1.45;6;0;6;1161;232;7217;2195;279;1892;24;t32;2021-02-15
