wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;7624;1.99;341;85;256;33066;4939;156782;48466;8757;38880;829;t00
dolnoœl¹skie;481;1.66;25;13;12;1907;233;9822;3780;571;3153;56;t02
kujawsko-pomorskie;913;4.41;28;2;26;3080;492;14046;4050;1004;2980;66;t04
lubelskie;447;2.13;42;16;26;1530;199;6844;2449;511;1906;32;t06
lubuskie;93;0.92;13;13;0;929;120;4673;892;114;764;14;t08
³ódzkie;487;1.99;21;8;13;2066;322;9793;3321;573;2672;76;t10
ma³opolskie;233;0.68;23;8;15;1261;178;6898;2436;281;2112;43;t12
mazowieckie;824;1.52;27;5;22;4542;754;25118;5590;1008;4430;152;t14
opolskie;93;0.95;12;0;12;606;131;3191;1090;123;956;11;t16
podkarpackie;270;1.27;18;1;17;742;85;4007;2009;308;1684;17;t18
podlaskie;189;1.61;7;0;7;1049;109;4124;1078;215;848;15;t20
pomorskie;534;2.28;39;7;32;2539;553;13866;3136;584;2446;106;t22
œl¹skie;740;1.64;27;5;22;3072;391;12642;4971;838;4072;61;t24
œwiêtokrzyskie;88;0.72;3;1;2;510;56;2335;1145;105;1015;25;t26
warmiñsko-mazurskie;601;4.23;30;3;27;2292;286;10150;2161;640;1501;20;t28
wielkopolskie;802;2.29;18;3;15;4090;497;16978;4035;891;3093;51;t30
zachodniopomorskie;569;3.36;8;0;8;2832;410;12273;2251;686;1518;47;t32
