wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;8510;2.22;254;45;209;15509;7406;166639;50505;9249;40553;703;t00;2021-02-19
dolnoœl¹skie;547;1.89;15;7;8;978;438;8373;3168;596;2536;36;t02;2021-02-19
kujawsko-pomorskie;535;2.59;14;0;14;1036;628;10751;3114;629;2425;60;t04;2021-02-19
lubelskie;313;1.49;16;1;15;677;356;6998;2232;341;1861;30;t06;2021-02-19
lubuskie;267;2.64;9;6;3;466;250;5479;1400;284;1105;11;t08;2021-02-19
³ódzkie;447;1.83;11;1;10;818;434;8646;3176;481;2664;31;t10;2021-02-19
ma³opolskie;493;1.44;14;4;10;853;370;8096;3341;516;2787;38;t12;2021-02-19
mazowieckie;1393;2.57;53;13;40;3014;1208;33312;7567;1517;5924;126;t14;2021-02-19
opolskie;133;1.36;3;0;3;236;157;2719;1118;139;969;10;t16;2021-02-19
podkarpackie;461;2.17;14;1;13;677;310;8274;2151;488;1650;13;t18;2021-02-19
podlaskie;315;2.68;14;0;14;517;280;5430;1467;335;1118;14;t20;2021-02-19
pomorskie;779;3.32;19;1;18;1380;717;16823;3818;820;2894;104;t22;2021-02-19
œl¹skie;818;1.81;26;6;20;1499;633;12509;4846;892;3909;45;t24;2021-02-19
œwiêtokrzyskie;159;1.29;1;0;1;248;105;2488;1429;215;1158;56;t26;2021-02-19
warmiñsko-mazurskie;736;5.18;15;3;12;1097;530;13557;2201;769;1409;23;t28;2021-02-19
wielkopolskie;552;1.58;13;2;11;1300;577;14548;3668;610;3009;49;t30;2021-02-19
zachodniopomorskie;373;2.20;17;0;17;701;362;8617;2274;411;1831;32;t32;2021-02-19
