wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;775;0.20;125;32;93;4742;2199;78901;61924;1041;60608;275;t00;2021-05-28
dolnoœl¹skie;71;0.24;9;6;3;429;232;6196;4382;97;4255;30;t02;2021-05-28
kujawsko-pomorskie;27;0.13;6;2;4;245;100;2820;2909;39;2856;14;t04;2021-05-28
lubelskie;52;0.25;6;0;6;272;110;3833;2865;64;2775;26;t06;2021-05-28
lubuskie;16;0.16;5;2;3;102;49;1942;1503;21;1476;6;t08;2021-05-28
³ódzkie;52;0.21;9;1;8;448;172;6294;4385;117;4244;24;t10;2021-05-28
ma³opolskie;48;0.14;7;4;3;373;193;5220;5227;57;5144;26;t12;2021-05-28
mazowieckie;106;0.20;8;0;8;628;270;20012;10485;151;10293;41;t14;2021-05-28
opolskie;32;0.33;3;0;3;91;77;2262;1342;38;1300;4;t16;2021-05-28
podkarpackie;19;0.09;3;0;3;321;54;2037;2676;29;2640;7;t18;2021-05-28
podlaskie;21;0.18;0;0;0;71;60;1340;1521;24;1495;2;t20;2021-05-28
pomorskie;36;0.15;7;0;7;279;128;5023;4362;46;4299;17;t22;2021-05-28
œl¹skie;98;0.22;32;12;20;555;249;6629;7109;122;6963;24;t24;2021-05-28
œwiêtokrzyskie;27;0.22;5;0;5;106;62;1442;1519;33;1474;12;t26;2021-05-28
warmiñsko-mazurskie;24;0.17;6;0;6;145;48;1795;1891;26;1858;7;t28;2021-05-28
wielkopolskie;105;0.30;10;5;5;408;252;8520;4459;125;4315;19;t30;2021-05-28
zachodniopomorskie;39;0.23;9;0;9;266;136;3515;2557;47;2496;14;t32;2021-05-28
